Gene Symbol,pLI,Residual.Variation.Intolerance.Score,Residual.Variation.Intolerance.Score.Percentile,pHI,pTS
A1BG,9.0649236354772e-05,-0.466531443838218,23.5138004246284,0.1345,0.52075
A1CF,0.00361970078438154,-0.37834611649652,28.0136824722812,0.21197,0.22586
A2M,0.000540114865271392,0.0991786777941675,60.757254069356,0.9201,0.39196
A2ML1,1.32902210264609e-22,2.41990149014731,98.5255956593536,0.27137,0.18193
A4GALT,0.111598718084493,-0.290161348016747,33.3392309506959,0.14511,0.09411
A4GNT,0.598408702159303,1.10787579439403,92.0382165605096,0.05767,0.07006
AAAS,4.54287182926272e-10,-0.911109353183856,9.96107572540694,0.341,0.48676
AACS,4.2456926056096e-12,-1.17024163384781,6.03916017928757,0.4913,0.20837
AADAC,0.000181834436419695,-0.0917467566846805,46.9155461193678,0.23112,0.08182
AADACL2,1.78138870795841e-08,-0.314027421907655,31.929700401038,0.12576,0.04672
AADACL3,0.00015633351437561,2.13133248600224,97.9240386883699,0.02486,0.01779
AADACL4,0.000547686324044419,-0.622676945576307,17.3154045765511,0.03669,0.01355
AADAT,0.250802295313827,-0.117432389280715,44.8926633640009,0.56356,0.26187
AAED1,9.50774394657092e-08,0.170987911949958,65.5579146025006,0.26772,0.08947
AAGAB,0.00810207313151983,0.0203027730121405,55.6086341118188,0.49755,0.2394
AAK1,0.99932042127733,-0.664951379330876,15.9117716442557,0.9557,0.88626
AAMP,0.531201269396819,0.0405295408939063,57.1538098608162,0.86568,0.98536
AANAT,0.0130382386829393,-0.0697007244836589,48.5432885114414,0.07949,0.2893
AAR2,0.000262136180238876,-0.312207497304812,32.0594479830149,0.28926,0.35919
AARS,4.67831529001667e-05,-0.655870776310616,16.1240858693088,0.49138,0.8992
AARS2,1.64858013716987e-07,1.14268500998538,92.3743807501769,0.24735,0.79654
AARSD1,2.43909906368394e-07,-0.0660618817075632,48.7791932059448,0.14674,0.31756
AASDH,2.00999745907204e-05,1.05449291686694,91.3717857985374,0.33849,0.50444
AASDHPPT,0.0839417342934132,-0.383807564318784,27.4180231186601,0.6597,0.41374
AASS,1.35531507533066e-06,-0.905656269300434,10.1203113941967,0.54395,0.1249
AATF,1.62332337375335e-07,-0.286522835491421,33.4748761500354,0.4668,0.19426
ABAT,0.374368506048295,-0.332434268456469,30.7442793111583,0.58503,0.43135
ABCA1,0.00165880319635912,-0.239047283807464,36.2880396319887,0.88336,0.52604
ABCA10,1.20688643660446e-27,1.03793892941744,91.1476763387591,0.22028,0.07348
ABCA12,2.02270864482359e-07,-0.299763454821852,32.2658645907054,0.85233,0.48762
ABCA13,3.30732765255053e-78,4.73031281556021,99.7876857749469,0.18891,0.08695
ABCA2,0.999999515728741,-4.23770015575192,0.123849964614296,0.9872,0.99961
ABCA3,7.47762721295469e-08,-1.47769045066287,3.70960132106629,0.30603,0.50245
ABCA4,1.26762782980402e-28,0.736662821408712,86.3057324840764,0.06159,0.15103
ABCA5,2.52772496034416e-15,0.771533118023548,86.9603680113234,0.59858,0.46933
ABCA6,1.83135791674863e-16,0.264439528818458,70.4411417787214,0.42343,0.07472
ABCA7,1.89160398990449e-36,-2.15122709517955,1.46260910592121,0.1376,0.47213
ABCA8,1.71937025604407e-33,0.909319044955991,89.4727530077849,0.5387,0.17063
ABCA9,1.27777342298461e-26,-0.00195721865880914,53.7331917905166,0.57316,0.11408
ABCB1,0.734473812399813,0.0991786777941675,60.757254069356,0.59166,0.88813
ABCB10,7.9478594059038e-06,-0.134019284192217,43.9077612644492,0.53735,0.46497
ABCB11,2.18849485467569e-10,-1.1409542408403,6.38711960368011,0.12166,0.17067
ABCB4,0.000203043316816073,-0.545632343319782,20.0224109459778,0.4137,0.74362
ABCB5,1.16623512959537e-23,4.17615570234983,99.6992215145081,0.14381,0.03542
ABCB6,2.11132200307841e-17,-0.369255208252928,28.2554847841472,0.12153,0.70698
ABCB8,4.59594908795322e-06,0.295774947295389,71.6442557206888,0.33126,0.60187
ABCB9,0.00290110755910397,-1.8151662882492,2.16442557206888,0.42963,0.60732
ABCC1,0.0194357604713981,-0.841660883352592,11.2939372493513,0.59019,0.17928
ABCC10,8.30539108826425e-21,-1.70540224073241,2.51238499646143,0.19145,0.50822
ABCC11,5.69831059947564e-25,1.62412785140594,96.0368011323425,0.13904,0.07803
ABCC12,2.20535216082614e-26,1.11143431164518,92.0677046473225,0.09556,0.05339
ABCC2,3.36341398926312e-29,0.955252643733121,90.0920028308563,0.1834,0.19944
ABCC3,2.61612974200613e-14,0.690669138619455,85.2146732719981,0.25545,0.45607
ABCC4,0.0013146830739273,0.214875663011589,67.7223401745695,0.73498,0.3902
ABCC5,0.896205134921104,-1.96773999180412,1.81646614767634,0.82847,0.93885
ABCC8,3.93872340599153e-15,-2.09110719422843,1.56876621844775,0.36597,0.81466
ABCC9,0.000700542902364641,-1.96773999180412,1.81646614767634,0.90121,0.88417
ABCD2,2.96980747420595e-06,-0.0917467566846805,46.9155461193678,0.36833,0.83073
ABCD3,0.999695622624106,-0.646543901360443,16.4425572068884,0.80367,0.88394
ABCE1,0.999982596858514,-0.251530011710464,35.4210898796886,0.98544,0.99653
ABCF2,0.995417497143895,-0.466531443838218,23.5138004246284,0.55807,0.97802
ABCF3,0.00402616582072083,-0.771553416872604,13.1516867185657,0.4779,0.86308
ABCG1,0.358875895364322,-1.37413243583427,4.42911063930172,0.70348,0.77162
ABCG2,1.37099444079211e-18,-0.198338176176581,39.171974522293,0.0859,0.11295
ABCG4,0.000455417358401195,-0.0678812493446645,48.690728945506,0.18896,0.88632
ABCG5,1.89797083861304e-15,1.16107861315009,92.6456711488559,0.06401,0.07626
ABCG8,3.74527259993631e-16,0.744001103453506,86.3765038924275,0.04139,0.02681
ABHD1,1.06027288753589e-21,-0.110153916402311,45.4883227176221,0.03435,0.09409
ABHD10,0.000658971112003106,0.595326758222017,82.6610049539986,0.37814,0.34398
ABHD11,9.03291221619057e-06,-0.404032746402437,26.5333805142722,0.23648,0.53863
ABHD12,1.98295570505197e-06,-0.157884860709986,42.0559094125973,0.44556,0.30625
ABHD12B,3.28064370577763e-13,1.03991354678614,91.2597310686483,0.06816,0.05832
ABHD13,0.637356652288557,-0.317668748016334,31.4578910120311,0.83496,0.76551
ABHD14A,0.000234514195858804,0.773521533931283,87.0606275064874,0.13472,0.42089
ABHD14B,0.116162846197975,0.215080721481145,67.9169615475348,0.13493,0.5662
ABHD15,0.00179012571573465,-0.246069118713615,36.069827789573,0.21024,0.29785
ABHD2,0.849463720274095,-0.025608647402347,51.9167256428403,0.77346,0.76888
ABHD3,1.33741470632214e-06,-0.203796825746796,38.8181174805379,0.39884,0.32735
ABHD4,7.5061622204536e-05,-0.979072681514534,8.7520641660769,0.19662,0.32427
ABHD5,3.45366245550968e-05,-0.424258537696004,25.5602736494456,0.42717,0.20008
ABHD6,0.00255991600957779,-0.49403930292671,22.0924746402453,0.37129,0.45774
ABHD8,0.642340812644093,-0.203796825746796,38.8181174805379,0.64305,0.81717
ABI1,0.632775183188113,-0.315847836024872,31.687898089172,0.90697,0.93563
ABI2,0.953329215745317,-0.361761278776434,28.6329322953527,0.84411,0.77917
ABI3,0.0277110067491567,-0.025608647402347,51.9167256428403,0.25494,0.759
ABI3BP,3.9401554209396e-07,0.45374373020571,78.0549657938193,0.53556,0.48917
ABL1,0.999882701417156,-1.62971131421101,2.85444680349139,0.99521,0.95294
ABL2,0.00970257687397593,-0.992035475507045,8.60462373201227,0.83271,0.75881
ABLIM1,0.951991965239091,-0.240611659521583,36.2821420146261,0.97201,0.93575
ABLIM2,0.762415766797037,-1.50643546414654,3.54446803491389,0.61171,0.39402
ABLIM3,0.0160253493614536,-1.150005948,6.28686010851616,0.64073,0.85623
ABR,0.999949479085503,-1.03976176960321,7.80254777070064,0.94748,0.97344
ABRA,4.06005533531396e-06,-0.201976963562696,38.9832507666903,0.13032,0.05173
ABRACL,0.267692921991043,0.035072053907763,56.2514744043406,0.46461,0.16202
ABT1,0.0271055673799205,-0.271755480784169,34.3182354328851,0.19688,0.29585
ABTB1,0.00129830665139568,-0.951568547505514,9.27105449398443,0.17263,0.82278
ABTB2,0.124650440326371,-1.01227211957013,8.17409766454352,0.71891,0.60688
ACAA1,2.6382494578646e-05,0.0643948230301201,58.8464260438783,0.29086,0.729
ACAA2,0.0035080415350425,-0.578583622949027,18.7190375088464,0.25137,0.13283
ACACA,0.99999999994361,-1.61307112315346,2.96060391601793,0.99241,0.99758
