HPO.Accession,HPO.Term,Gene.Symbol,Source,Source.ID
HP:0001272,cerebellar atrophy,AARS2,mim2gene,OMIM:615889
HP:0001272,cerebellar atrophy,TBC1D20,mim2gene,OMIM:615663
HP:0001272,cerebellar atrophy,QARS1,mim2gene,OMIM:615760
HP:0001272,cerebellar atrophy,PNPLA6,mim2gene,OMIM:215470
HP:0001272,cerebellar atrophy,UBA5,mim2gene,OMIM:617133
HP:0001272,cerebellar atrophy,PPP2R2B,mim2gene,OMIM:604326
HP:0001272,cerebellar atrophy,CNP,mim2gene,OMIM:619071
HP:0001272,cerebellar atrophy,LNPK,mim2gene,OMIM:618090
HP:0001272,cerebellar atrophy,PIGN,mim2gene,OMIM:614080
HP:0001272,cerebellar atrophy,ELOVL4,mim2gene,OMIM:133190
HP:0001272,cerebellar atrophy,LAGE3,mim2gene,OMIM:301006
HP:0001272,cerebellar atrophy,REPS1,mim2gene,OMIM:617916
HP:0001272,cerebellar atrophy,POLG2,mim2gene,OMIM:610131
HP:0001272,cerebellar atrophy,PRUNE1,mim2gene,OMIM:617481
HP:0001272,cerebellar atrophy,SLC44A1,mim2gene,OMIM:618868
HP:0001272,cerebellar atrophy,PMPCB,mim2gene,OMIM:617954
HP:0001272,cerebellar atrophy,CACNA2D2,mim2gene,OMIM:618501
HP:0001272,cerebellar atrophy,SLC39A14,mim2gene,OMIM:617013
HP:0001272,cerebellar atrophy,BRAT1,mim2gene,OMIM:618056
HP:0001272,cerebellar atrophy,PITRM1,mim2gene,OMIM:619405
HP:0001272,cerebellar atrophy,GRN,mim2gene,OMIM:614706
HP:0001272,cerebellar atrophy,ZMIZ1,mim2gene,OMIM:618659
HP:0001272,cerebellar atrophy,ATXN1,mim2gene,OMIM:164400
HP:0001272,cerebellar atrophy,TRAPPC4,mim2gene,OMIM:618741
HP:0001272,cerebellar atrophy,EXOSC2,mim2gene,OMIM:617763
HP:0001272,cerebellar atrophy,MAG,mim2gene,OMIM:616680
HP:0001272,cerebellar atrophy,PCLO,mim2gene,OMIM:608027
HP:0001272,cerebellar atrophy,TXN2,mim2gene,OMIM:616811
HP:0001272,cerebellar atrophy,UBA5,mim2gene,OMIM:617132
HP:0001272,cerebellar atrophy,GRID2,mim2gene,OMIM:616204
HP:0001272,cerebellar atrophy,TMEM240,mim2gene,OMIM:607454
HP:0001272,cerebellar atrophy,XRCC4,mim2gene,OMIM:616541
HP:0001272,cerebellar atrophy,POLR1C,mim2gene,OMIM:616494
HP:0001272,cerebellar atrophy,CACNA1A,mim2gene,OMIM:183086
HP:0001272,cerebellar atrophy,COQ8A,mim2gene,OMIM:612016
HP:0001272,cerebellar atrophy,TBCD,mim2gene,OMIM:617193
HP:0001272,cerebellar atrophy,SUMF1,mim2gene,OMIM:272200
HP:0001272,cerebellar atrophy,TOP3A,mim2gene,OMIM:618098
HP:0001272,cerebellar atrophy,BCL11A,mim2gene,OMIM:617101
HP:0001272,cerebellar atrophy,MME,mim2gene,OMIM:617018
HP:0001272,cerebellar atrophy,MORC2,mim2gene,OMIM:619090
HP:0001272,cerebellar atrophy,KIF1A,mim2gene,OMIM:610357
HP:0001272,cerebellar atrophy,SNX14,mim2gene,OMIM:616354
HP:0001272,cerebellar atrophy,FA2H,mim2gene,OMIM:612319
HP:0001272,cerebellar atrophy,COG6,mim2gene,OMIM:614576
HP:0001272,cerebellar atrophy,COX4I1,mim2gene,OMIM:619060
HP:0001272,cerebellar atrophy,SLC39A8,mim2gene,OMIM:616721
HP:0001272,cerebellar atrophy,KATNB1,mim2gene,OMIM:616212
HP:0001272,cerebellar atrophy,CDC42,mim2gene,OMIM:616737
HP:0001272,cerebellar atrophy,COQ5,mim2gene,OMIM:619028
HP:0001272,cerebellar atrophy,UCHL1,mim2gene,OMIM:615491
HP:0001272,cerebellar atrophy,SETX,mim2gene,OMIM:606002
HP:0001272,cerebellar atrophy,TMX2,mim2gene,OMIM:618730
HP:0001272,cerebellar atrophy,NKX6-2,mim2gene,OMIM:617560
HP:0001272,cerebellar atrophy,POLR3A,mim2gene,OMIM:607694
HP:0001272,cerebellar atrophy,GPAA1,mim2gene,OMIM:617810
HP:0001272,cerebellar atrophy,AP3B2,mim2gene,OMIM:617276
HP:0001272,cerebellar atrophy,SEMA6B,mim2gene,OMIM:618876
HP:0001272,cerebellar atrophy,SERAC1,mim2gene,OMIM:614739
HP:0001272,cerebellar atrophy,VLDLR,mim2gene,OMIM:224050
HP:0001272,cerebellar atrophy,ALDH5A1,mim2gene,OMIM:271980
HP:0001272,cerebellar atrophy,FAR1,mim2gene,OMIM:616154
HP:0001272,cerebellar atrophy,SIL1,mim2gene,OMIM:248800
HP:0001272,cerebellar atrophy,PLK4,mim2gene,OMIM:616171
HP:0001272,cerebellar atrophy,BEAN1,mim2gene,OMIM:117210
HP:0001272,cerebellar atrophy,NDUFA8,mim2gene,OMIM:619272
HP:0001272,cerebellar atrophy,PTRH2,mim2gene,OMIM:616263
HP:0001272,cerebellar atrophy,WARS2,mim2gene,OMIM:617710
HP:0001272,cerebellar atrophy,SYNE1,mim2gene,OMIM:610743
HP:0001272,cerebellar atrophy,POLR3B,mim2gene,OMIM:607694
HP:0001272,cerebellar atrophy,HSD17B4,mim2gene,OMIM:233400
HP:0001272,cerebellar atrophy,MARS2,mim2gene,OMIM:611390
HP:0001272,cerebellar atrophy,FARS2,mim2gene,OMIM:614946
HP:0001272,cerebellar atrophy,KCTD7,mim2gene,OMIM:611726
HP:0001272,cerebellar atrophy,POLR3K,mim2gene,OMIM:619310
HP:0001272,cerebellar atrophy,NODAL,mim2gene,OMIM:270100
HP:0001272,cerebellar atrophy,KAT5,mim2gene,OMIM:619103
HP:0001272,cerebellar atrophy,SCYL1,mim2gene,OMIM:616719
HP:0001272,cerebellar atrophy,HTT,mim2gene,OMIM:617435
HP:0001272,cerebellar atrophy,TRMT1,mim2gene,OMIM:618302
HP:0001272,cerebellar atrophy,ALG9,mim2gene,OMIM:608776
HP:0001272,cerebellar atrophy,FGF12,mim2gene,OMIM:617166
