HPO.Accession,HPO.Term,Gene.Symbol,Source,Source.ID
HP:0001272,cerebellar atrophy,NKX6-2,orphadata,ORPHA:527497
HP:0001272,cerebellar atrophy,TBCD,orphadata,ORPHA:496641
HP:0001272,cerebellar atrophy,TBP,orphadata,ORPHA:98759
HP:0001272,cerebellar atrophy,TBC1D24,orphadata,ORPHA:352582
HP:0001272,cerebellar atrophy,DMXL2,orphadata,ORPHA:1934
HP:0001272,cerebellar atrophy,IBA57,orphadata,ORPHA:468661
HP:0001272,cerebellar atrophy,PRKCG,orphadata,ORPHA:98763
HP:0001272,cerebellar atrophy,NADK2,orphadata,ORPHA:431361
HP:0001272,cerebellar atrophy,BEAN1,orphadata,ORPHA:217012
HP:0001272,cerebellar atrophy,SCN1B,orphadata,ORPHA:1934
HP:0001272,cerebellar atrophy,TWNK,orphadata,ORPHA:254892
HP:0001272,cerebellar atrophy,SPTBN2,orphadata,ORPHA:98766
HP:0001272,cerebellar atrophy,SLC25A22,orphadata,ORPHA:1934
HP:0001272,cerebellar atrophy,ATP1A2,orphadata,ORPHA:569
HP:0001272,cerebellar atrophy,ITPR1,orphadata,ORPHA:208513
HP:0001272,cerebellar atrophy,ALG9,orphadata,ORPHA:79328
HP:0001272,cerebellar atrophy,GJB1,orphadata,ORPHA:1175
HP:0001272,cerebellar atrophy,TECPR2,orphadata,ORPHA:320385
HP:0001272,cerebellar atrophy,KCND3,orphadata,ORPHA:98772
HP:0001272,cerebellar atrophy,POGZ,orphadata,ORPHA:468678
HP:0001272,cerebellar atrophy,POLG2,orphadata,ORPHA:254892
HP:0001272,cerebellar atrophy,TDP1,orphadata,ORPHA:94124
HP:0001272,cerebellar atrophy,ALG1,orphadata,ORPHA:79327
HP:0001272,cerebellar atrophy,ATXN10,orphadata,ORPHA:98761
HP:0001272,cerebellar atrophy,CLN8,orphadata,ORPHA:1947
HP:0001272,cerebellar atrophy,MPLKIP,orphadata,ORPHA:33364
HP:0001272,cerebellar atrophy,CDC42,orphadata,ORPHA:487796
HP:0001272,cerebellar atrophy,NDE1,orphadata,ORPHA:1083
HP:0001272,cerebellar atrophy,DNM1L,orphadata,ORPHA:330050
HP:0001272,cerebellar atrophy,CRPPA,orphadata,ORPHA:370980
HP:0001272,cerebellar atrophy,ITPR1,orphadata,ORPHA:98769
HP:0001272,cerebellar atrophy,AP4S1,orphadata,ORPHA:280763
