Disease	Disease_URI	Relationship	Relationship_URI	Gene	Gene_URI
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ALX1	http://identifiers.org/hgnc.symbol/ALX1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ALX3	http://identifiers.org/hgnc.symbol/ALX3
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ARHGAP31	http://identifiers.org/hgnc.symbol/ARHGAP31
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ARID1A	http://identifiers.org/hgnc.symbol/ARID1A
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ARID1B	http://identifiers.org/hgnc.symbol/ARID1B
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ARID2	http://identifiers.org/hgnc.symbol/ARID2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	BICRA	http://identifiers.org/hgnc.symbol/BICRA
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	BRAF	http://identifiers.org/hgnc.symbol/BRAF
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	BRCA1	http://identifiers.org/hgnc.symbol/BRCA1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	BRCA2	http://identifiers.org/hgnc.symbol/BRCA2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	BRIP1	http://identifiers.org/hgnc.symbol/BRIP1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CACNA1C	http://identifiers.org/hgnc.symbol/CACNA1C
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CCDC22	http://identifiers.org/hgnc.symbol/CCDC22
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CDK8	http://identifiers.org/hgnc.symbol/CDK8
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CDON	http://identifiers.org/hgnc.symbol/CDON
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CHD4	http://identifiers.org/hgnc.symbol/CHD4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CHD7	http://identifiers.org/hgnc.symbol/CHD7
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CHRM3	http://identifiers.org/hgnc.symbol/CHRM3
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CHUK	http://identifiers.org/hgnc.symbol/CHUK
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CITED2	http://identifiers.org/hgnc.symbol/CITED2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	COL2A1	http://identifiers.org/hgnc.symbol/COL2A1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	COMT	http://identifiers.org/hgnc.symbol/COMT
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	COX7B	http://identifiers.org/hgnc.symbol/COX7B
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CRELD1	http://identifiers.org/hgnc.symbol/CRELD1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	CXCR4	http://identifiers.org/hgnc.symbol/CXCR4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DACT1	http://identifiers.org/hgnc.symbol/DACT1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DDX11	http://identifiers.org/hgnc.symbol/DDX11
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DDX59	http://identifiers.org/hgnc.symbol/DDX59
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DGCR2	http://identifiers.org/hgnc.symbol/DGCR2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DGCR6	http://identifiers.org/hgnc.symbol/DGCR6
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DGCR8	http://identifiers.org/hgnc.symbol/DGCR8
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DLL1	http://identifiers.org/hgnc.symbol/DLL1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DLL4	http://identifiers.org/hgnc.symbol/DLL4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DNAJC30	http://identifiers.org/hgnc.symbol/DNAJC30
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DOCK6	http://identifiers.org/hgnc.symbol/DOCK6
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	DPF2	http://identifiers.org/hgnc.symbol/DPF2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	EHMT1	http://identifiers.org/hgnc.symbol/EHMT1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ELN	http://identifiers.org/hgnc.symbol/ELN
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	EOGT	http://identifiers.org/hgnc.symbol/EOGT
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ERCC4	http://identifiers.org/hgnc.symbol/ERCC4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	ESS2	http://identifiers.org/hgnc.symbol/ESS2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FANCA	http://identifiers.org/hgnc.symbol/FANCA
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FANCB	http://identifiers.org/hgnc.symbol/FANCB
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FANCC	http://identifiers.org/hgnc.symbol/FANCC
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FANCD2	http://identifiers.org/hgnc.symbol/FANCD2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FANCE	http://identifiers.org/hgnc.symbol/FANCE
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FANCF	http://identifiers.org/hgnc.symbol/FANCF
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FANCG	http://identifiers.org/hgnc.symbol/FANCG
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FANCI	http://identifiers.org/hgnc.symbol/FANCI
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FANCL	http://identifiers.org/hgnc.symbol/FANCL
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FANCM	http://identifiers.org/hgnc.symbol/FANCM
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FGF8	http://identifiers.org/hgnc.symbol/FGF8
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FGFR1	http://identifiers.org/hgnc.symbol/FGFR1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FIG4	http://identifiers.org/hgnc.symbol/FIG4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FLT4	http://identifiers.org/hgnc.symbol/FLT4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FN1	http://identifiers.org/hgnc.symbol/FN1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FOXC2	http://identifiers.org/hgnc.symbol/FOXC2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	FOXF1	http://identifiers.org/hgnc.symbol/FOXF1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	GABRD	http://identifiers.org/hgnc.symbol/GABRD
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	GATA4	http://identifiers.org/hgnc.symbol/GATA4
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	GATA5	http://identifiers.org/hgnc.symbol/GATA5
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	GATA6	http://identifiers.org/hgnc.symbol/GATA6
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	GDF1	http://identifiers.org/hgnc.symbol/GDF1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	GJA5	http://identifiers.org/hgnc.symbol/GJA5
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	GLI2	http://identifiers.org/hgnc.symbol/GLI2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	GP1BB	http://identifiers.org/hgnc.symbol/GP1BB
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	HIBCH	http://identifiers.org/hgnc.symbol/HIBCH
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	HSPG2	http://identifiers.org/hgnc.symbol/HSPG2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	INTU	http://identifiers.org/hgnc.symbol/INTU
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	JAG1	http://identifiers.org/hgnc.symbol/JAG1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	MAD2L2	http://identifiers.org/hgnc.symbol/MAD2L2
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	MKKS	http://identifiers.org/hgnc.symbol/MKKS
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	MLXIPL	http://identifiers.org/hgnc.symbol/MLXIPL
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	MYRF	http://identifiers.org/hgnc.symbol/MYRF
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	NCF1	http://identifiers.org/hgnc.symbol/NCF1
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	NKX2-5	http://identifiers.org/hgnc.symbol/NKX2-5
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	NKX2-6	http://identifiers.org/hgnc.symbol/NKX2-6
Tetralogy of Fallot	http://purl.obolibrary.org/obo/HP_0001636	gene-disease association	https://semanticscience.org/resource/SIO_000983	NODAL	http://identifiers.org/hgnc.symbol/NODAL
