HPO Accession,HPO Term,Gene Symbol
HP:0001646,Abnormal aortic valve morphology,SOS1
HP:0001627,Abnormal heart morphology,TBX5
HP:0001627,Abnormal heart morphology,JAG1
HP:0001627,Abnormal heart morphology,MAPK1
HP:0001627,Abnormal heart morphology,NODAL
HP:0001627,Abnormal heart morphology,NOTCH1
HP:0001627,Abnormal heart morphology,MYRF
HP:0001627,Abnormal heart morphology,DYNC2H1
HP:0001627,Abnormal heart morphology,PUS3
HP:0001627,Abnormal heart morphology,ZRSR2
HP:0001627,Abnormal heart morphology,NONO
HP:0001627,Abnormal heart morphology,ROBO1
HP:0001711,Abnormal left ventricle morphology,MYH11
HP:0001633,Abnormal mitral valve morphology,ESRRG;RRP15;TGFB2;SPATA17;GPATCH2;USH2A
HP:0001670,Asymmetric septal hypertrophy,MYBPC3
HP:0001670,Asymmetric septal hypertrophy,MYH7
HP:0001631,Atrial septal defect,DMD
HP:0001631,Atrial septal defect,CHD7
HP:0006695,Atrioventricular canal defect,TBX5
HP:0001647,Bicuspid aortic valve,TAB2
HP:0001647,Bicuspid aortic valve,DSP
HP:0001647,Bicuspid aortic valve,ROBO4
HP:0012818,Biventricular noncompaction cardiomyopathy,MYH7
HP:0009729,Cardiac rhabdomyoma,TSC1
HP:0001638,Cardiomyopathy,RBM20
HP:0001638,Cardiomyopathy,TMEM43
HP:0001638,Cardiomyopathy,PKP2
HP:0001638,Cardiomyopathy,PRKAG2
HP:0001638,Cardiomyopathy,MYBPC3
HP:0001638,Cardiomyopathy,GLA
HP:0001638,Cardiomyopathy,TNNT2
HP:0001638,Cardiomyopathy,TNNI3
HP:0001638,Cardiomyopathy,TNNC1
HP:0001638,Cardiomyopathy,TPM1
HP:0001638,Cardiomyopathy,TTR
HP:0001638,Cardiomyopathy,PLN
HP:0001638,Cardiomyopathy,MYL2
HP:0001638,Cardiomyopathy,MYH7
HP:0001638,Cardiomyopathy,LMNA
HP:0001638,Cardiomyopathy,ACTC1
HP:0001638,Cardiomyopathy,MYL3
HP:0001638,Cardiomyopathy,DSP
HP:0001638,Cardiomyopathy,TTN
HP:0001638,Cardiomyopathy,LAMP2
HP:0001638,Cardiomyopathy,RYR2
HP:0001638,Cardiomyopathy,MIPEP
HP:0001638,Cardiomyopathy,C1QTNF9;C1QTNF9B;MIPEP;PCOTH;SACS;SGCG;SPATA13;TNFRSF19
HP:0001638,Cardiomyopathy,DSG2
HP:0001638,Cardiomyopathy,UQCRFS1
HP:0001638,Cardiomyopathy,TAFAZZIN
HP:0001638,Cardiomyopathy,DSC2
HP:0001638,Cardiomyopathy,CSRP3
HP:0001638,Cardiomyopathy,DPM3
HP:0001638,Cardiomyopathy,VCL
HP:0001638,Cardiomyopathy,MYH6
HP:0001638,Cardiomyopathy,JUP
HP:0001638,Cardiomyopathy,ABCC9
HP:0001710,Conotruncal defect,FOXH1
HP:0001651,Dextrocardia,MYRF
HP:0001644,Dilated cardiomyopathy,RBM20
HP:0001644,Dilated cardiomyopathy,TMEM43
HP:0001644,Dilated cardiomyopathy,TCAP
HP:0001644,Dilated cardiomyopathy,SCN5A
HP:0001644,Dilated cardiomyopathy,TNNT2
HP:0001644,Dilated cardiomyopathy,PLN
HP:0001644,Dilated cardiomyopathy,MYH7
HP:0001644,Dilated cardiomyopathy,LMNA
HP:0001644,Dilated cardiomyopathy,BAG3
HP:0001644,Dilated cardiomyopathy,TPM1
HP:0001644,Dilated cardiomyopathy,TAFAZZIN
HP:0001644,Dilated cardiomyopathy,MYBPC3
HP:0001644,Dilated cardiomyopathy,TNNI3
HP:0001644,Dilated cardiomyopathy,DES
HP:0001644,Dilated cardiomyopathy,DSP
HP:0001644,Dilated cardiomyopathy,TTN
HP:0001644,Dilated cardiomyopathy,SGCB
HP:0001644,Dilated cardiomyopathy,ACTN2
HP:0001644,Dilated cardiomyopathy,LAMP2
HP:0001644,Dilated cardiomyopathy,FLNC
HP:0001644,Dilated cardiomyopathy,DMD
HP:0001644,Dilated cardiomyopathy,PPP1R13L
