HPO Accession,HPO Term,Gene Symbol
HP:0001629,Ventricular septal defect,NOTCH1
HP:0001629,Ventricular septal defect,RECQL4
HP:0001629,Ventricular septal defect,ARHGAP31
HP:0001629,Ventricular septal defect,NHS
HP:0001629,Ventricular septal defect,TBX5
HP:0001629,Ventricular septal defect,KRAS
HP:0001629,Ventricular septal defect,DOCK6
HP:0001629,Ventricular septal defect,TFAP2B
HP:0001629,Ventricular septal defect,KDM6A
HP:0001629,Ventricular septal defect,ARID1A
HP:0001629,Ventricular septal defect,RIT1
HP:0001629,Ventricular septal defect,SMARCE1
HP:0001629,Ventricular septal defect,RAF1
HP:0001629,Ventricular septal defect,DLL4
HP:0001629,Ventricular septal defect,KMT2D
HP:0001629,Ventricular septal defect,SMARCB1
HP:0001629,Ventricular septal defect,SOS 2
HP:0001629,Ventricular septal defect,ZEB2
HP:0001629,Ventricular septal defect,NRAS
HP:0001629,Ventricular septal defect,SMARCB1
HP:0001629,Ventricular septal defect,CBP
HP:0001629,Ventricular septal defect,TWIST
HP:0001629,Ventricular septal defect,BRAF
HP:0001629,Ventricular septal defect,CHD7
HP:0001629,Ventricular septal defect,TBX1
HP:0001629,Ventricular septal defect,SMARCA4
HP:0001629,Ventricular septal defect,DHCR7
HP:0001629,Ventricular septal defect,SOS 1
HP:0001629,Ventricular septal defect,EP300
HP:0001629,Ventricular septal defect,NSD1
HP:0001629,Ventricular septal defect,CDKNIC
HP:0001629,Ventricular septal defect,ARID1B
HP:0001629,Ventricular septal defect,SALL1
HP:0001629,Ventricular septal defect,EOGT
HP:0001629,Ventricular septal defect,PTPN11
HP:0001629,Ventricular septal defect,HRAS
HP:0001629,Ventricular septal defect,SHOC2
HP:0001629,Ventricular septal defect,RBPJ
HP:0001629,Ventricular septal defect,7q11.23deletion(ELN)
HP:0001629,Ventricular septal defect,RAB23
HP:0001631,Atrial septal defect,SOS 2
HP:0001631,Atrial septal defect,ZEB2
HP:0001631,Atrial septal defect,DHCR7
HP:0001631,Atrial septal defect,KRAS
HP:0001631,Atrial septal defect,DLL4
HP:0001631,Atrial septal defect,HRAS
HP:0001631,Atrial septal defect,RAB23
HP:0001631,Atrial septal defect,SHOC2
HP:0001631,Atrial septal defect,NOTCH1
HP:0001631,Atrial septal defect,SMARCA4
HP:0001631,Atrial septal defect,RIT1
HP:0001631,Atrial septal defect,SALL1
HP:0001631,Atrial septal defect,SMARCB1
HP:0001631,Atrial septal defect,EOGT
HP:0001631,Atrial septal defect,CBP
HP:0001631,Atrial septal defect,BRAF
HP:0001631,Atrial septal defect,ARID1B
HP:0001631,Atrial septal defect,PTPN11
HP:0001631,Atrial septal defect,MAP2K1
HP:0001631,Atrial septal defect,MAP2K2
HP:0001631,Atrial septal defect,ARHGAP31
HP:0001631,Atrial septal defect,7q11.23deletion(ELN)
HP:0001631,Atrial septal defect,SMARCB1
HP:0001631,Atrial septal defect,ARID1A
HP:0001631,Atrial septal defect,RAF1
HP:0001631,Atrial septal defect,DOCK6
HP:0001631,Atrial septal defect,KRAS
HP:0001631,Atrial septal defect,TBX1
HP:0001631,Atrial septal defect,SMARCE1
HP:0001631,Atrial septal defect,NSD1
HP:0001631,Atrial septal defect,TBX5
HP:0001631,Atrial septal defect,BRAF
HP:0001631,Atrial septal defect,EP300
HP:0001631,Atrial septal defect,SOS 1
