gene_short_name,CNS_assoc_HPOs,CNS_HP_Count,pvalue_CNS_more,pvalue_CNS_less,DownGeneDrugs,UpGeneDrugs
A1CF,,,,1.17911E-11,,
A3GALT2,,,0.040249361,,,
A4GALT,,,,0.00045199,,
A4GNT,,,,4.43805E-05,,
AAAS,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0100547",9,,1.93942E-08,,
AADAC,,,,1.04038E-11,,
AADACL2,,,,3.21586E-06,,
AADACL3,,,,5.54323E-06,,
AADACL4,,,,7.14742E-11,,
AADAT,,,0.024864045,,,
AAED1,,,,3.78979E-05,,
AAK1,,,0.00386103,,,
AAMDC,,,,0.000671029,,isoxsuprine
AAMP,,,,9.17489E-09,,
AANAT,,,,3.49751E-05,,
AARS,,,,4.70379E-07,,"hexachlorophene, mifepristone"
AARS2,"HP:0001272, HP:0001317, HP:0002011, HP:0002060, HP:0002180, HP:0002500, HP:0002518, HP:0007367, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0100547",13,,6.2482E-05,,
AASDHPPT,,,0.009229474,,,
AATK,,,0.002443189,,,
ABAT,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007360, HP:0007364, HP:0007370, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",16,0.000140311,,"nifedipine, propranolol, warfarin",
ABCA3,,,1.23252E-06,,,
ABCA4,HP:0012759,1,,8.07135E-05,,
ABCA7,"HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002538, HP:0002977, HP:0007112, HP:0007343, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0025100, HP:0100547, HP:0410170",17,,3.79822E-06,,
ABCB5,,,,1.13597E-05,,
ABCB9,,,0.002648047,,,
ABCC2,,,,7.76287E-08,,
ABCC3,,,,2.80672E-05,,"clomifene, dichloroacetic-acid, estradiol-benzoate, lamotrigine, levodopa, prednisolone, resveratrol"
ABCC5,,,0.005013774,,"cilostazol, hexachlorophene",
ABCC6,"HP:0002011, HP:0002060, HP:0010651, HP:0010652, HP:0010653, HP:0012443, HP:0012639, HP:0012759, HP:0100547, HP:0100659",10,,4.7859E-09,,
ABCC8,"HP:0012639, HP:0012759",2,0.008637942,,,
