HPO-id,HPO label,entrz-gene-id,entrez-gene-symbol,additional info from G-D source,G-D source,Disease-ID for link
HP:0033186,Misalignment of the pulmonary veins,6439,SFTPB,-,mim2gene,OMIM:265120
HP:0033186,Misalignment of the pulmonary veins,2294,FOXF1,-,mim2gene,OMIM:265380
HP:0033379,Bilateral superior vena cava,55315,SLC29A3,-,mim2gene,OMIM:602782
HP:0033379,Bilateral superior vena cava,5567,PRKACB,-,mim2gene,OMIM:619143
HP:0033379,Bilateral superior vena cava,81857,MED25,,orphadata,ORPHA:464738
HP:0033379,Bilateral superior vena cava,8772,FADD,-,mim2gene,OMIM:613759
HP:0001636,Tetralogy of Fallot,285203,EOGT,,orphadata,ORPHA:974
HP:0001636,Tetralogy of Fallot,2619,GAS1,,orphadata,ORPHA:280200
HP:0001636,Tetralogy of Fallot,51085,MLXIPL,,orphadata,ORPHA:904
HP:0001636,Tetralogy of Fallot,1312,COMT,,orphadata,ORPHA:567
HP:0001636,Tetralogy of Fallot,10370,CITED2,,orphadata,ORPHA:3303
HP:0001636,Tetralogy of Fallot,5885,RAD21,-,mim2gene,OMIM:614701
HP:0001636,Tetralogy of Fallot,23129,PLXND1,,orphadata,ORPHA:3384
HP:0001636,Tetralogy of Fallot,2626,GATA4,question,mim2gene,OMIM:615542
HP:0001636,Tetralogy of Fallot,196528,ARID2,,orphadata,ORPHA:1465
HP:0001636,Tetralogy of Fallot,6499,SKIV2L,,orphadata,ORPHA:84064
HP:0001636,Tetralogy of Fallot,5888,RAD51,,orphadata,ORPHA:84
HP:0001636,Tetralogy of Fallot,2627,GATA6,-,mim2gene,OMIM:600001
HP:0001636,Tetralogy of Fallot,57167,SALL4,question,mim2gene,OMIM:147750
HP:0001636,Tetralogy of Fallot,9939,RBM8A,,orphadata,ORPHA:3320
HP:0001636,Tetralogy of Fallot,1482,NKX2-5,,orphadata,ORPHA:3303
HP:0001636,Tetralogy of Fallot,9896,FIG4,-,mim2gene,OMIM:216340
HP:0001636,Tetralogy of Fallot,2969,GTF2I,,orphadata,ORPHA:904
HP:0001636,Tetralogy of Fallot,2176,FANCC,,orphadata,ORPHA:84
HP:0001636,Tetralogy of Fallot,137814,NKX2-6,,orphadata,ORPHA:3303
HP:0001636,Tetralogy of Fallot,653361,NCF1,,orphadata,ORPHA:904
HP:0001636,Tetralogy of Fallot,4920,ROR2,,orphadata,ORPHA:1507
HP:0001636,Tetralogy of Fallot,2657,GDF1,-,mim2gene,OMIM:613854
HP:0001636,Tetralogy of Fallot,7026,NR2F2,-,mim2gene,OMIM:615779
HP:0001636,Tetralogy of Fallot,23384,SPECC1L,,orphadata,ORPHA:1519
HP:0001636,Tetralogy of Fallot,8214,DGCR6,-,mim2gene,OMIM:192430
HP:0001636,Tetralogy of Fallot,3984,LIMK1,,orphadata,ORPHA:904
HP:0001636,Tetralogy of Fallot,7458,EIF4H,,orphadata,ORPHA:904
HP:0001636,Tetralogy of Fallot,2627,GATA6,-,mim2gene,OMIM:187500
HP:0001636,Tetralogy of Fallot,2188,FANCF,,orphadata,ORPHA:84
HP:0001636,Tetralogy of Fallot,123606,NIPA1,,orphadata,ORPHA:261183
HP:0001636,Tetralogy of Fallot,55697,VAC14,,orphadata,ORPHA:3472
HP:0001636,Tetralogy of Fallot,2072,ERCC4,,orphadata,ORPHA:84
HP:0001636,Tetralogy of Fallot,6899,TBX1,,orphadata,ORPHA:567
HP:0001636,Tetralogy of Fallot,27152,INTU,question,mim2gene,OMIM:617925
HP:0001636,Tetralogy of Fallot,2177,FANCD2,,orphadata,ORPHA:84
HP:0001636,Tetralogy of Fallot,5053,PAH,,orphadata,ORPHA:2209
HP:0001636,Tetralogy of Fallot,8241,RBM10,,orphadata,ORPHA:2886
HP:0001636,Tetralogy of Fallot,5590,PRKCZ,,orphadata,ORPHA:1606
HP:0001636,Tetralogy of Fallot,83479,DDX59,,orphadata,ORPHA:2919
HP:0001636,Tetralogy of Fallot,7283,TUBG1,,orphadata,ORPHA:261183
HP:0001636,Tetralogy of Fallot,2626,GATA4,,orphadata,ORPHA:3303
HP:0001636,Tetralogy of Fallot,57514,ARHGAP31,-,mim2gene,OMIM:100300
HP:0001636,Tetralogy of Fallot,4838,NODAL,,orphadata,ORPHA:280200
HP:0001636,Tetralogy of Fallot,57167,SALL4,,orphadata,ORPHA:959
HP:0001636,Tetralogy of Fallot,22800,RRAS2,-,mim2gene,OMIM:618624
HP:0001636,Tetralogy of Fallot,10277,UBE4B,,orphadata,ORPHA:1606
HP:0001636,Tetralogy of Fallot,6597,SMARCA4,,orphadata,ORPHA:1465
HP:0001636,Tetralogy of Fallot,9723,SEMA3E,,orphadata,ORPHA:138
HP:0001636,Tetralogy of Fallot,421,ARVCF,,orphadata,ORPHA:567
HP:0001636,Tetralogy of Fallot,3791,KDR,,orphadata,ORPHA:3303
HP:0001636,Tetralogy of Fallot,55636,CHD7,-,mim2gene,OMIM:214800
HP:0001636,Tetralogy of Fallot,7353,UFD1,,orphadata,ORPHA:567
HP:0001636,Tetralogy of Fallot,257,ALX3,-,mim2gene,OMIM:136760
HP:0001636,Tetralogy of Fallot,55120,FANCL,,orphadata,ORPHA:84
HP:0001636,Tetralogy of Fallot,9723,SEMA3E,question,mim2gene,OMIM:214800
HP:0001636,Tetralogy of Fallot,1108,CHD4,-,mim2gene,OMIM:617159
HP:0001636,Tetralogy of Fallot,27152,INTU,question,mim2gene,OMIM:617926
HP:0001636,Tetralogy of Fallot,2657,GDF1,-,mim2gene,OMIM:208530
HP:0001636,Tetralogy of Fallot,6659,SOX4,,orphadata,ORPHA:1465
HP:0001636,Tetralogy of Fallot,7290,HIRA,,orphadata,ORPHA:567
HP:0001636,Tetralogy of Fallot,182,JAG1,,orphadata,ORPHA:3303
HP:0001636,Tetralogy of Fallot,6598,SMARCB1,,orphadata,ORPHA:1465
HP:0001636,Tetralogy of Fallot,4853,NOTCH2,-,mim2gene,OMIM:610205
HP:0001636,Tetralogy of Fallot,57514,ARHGAP31,,orphadata,ORPHA:974
HP:0001636,Tetralogy of Fallot,79728,PALB2,,orphadata,ORPHA:84
HP:0001636,Tetralogy of Fallot,745,MYRF,-,mim2gene,OMIM:618280
HP:0001636,Tetralogy of Fallot,8514,KCNAB2,,orphadata,ORPHA:1606
HP:0001636,Tetralogy of Fallot,6601,SMARCC2,,orphadata,ORPHA:1465
HP:0001636,Tetralogy of Fallot,6125,RPL5,-,mim2gene,OMIM:612561
HP:0001636,Tetralogy of Fallot,775,CACNA1C,-,mim2gene,OMIM:601005
HP:0001636,Tetralogy of Fallot,10459,MAD2L2,,orphadata,ORPHA:84
HP:0001636,Tetralogy of Fallot,9839,ZEB2,,orphadata,ORPHA:261537
HP:0001636,Tetralogy of Fallot,2175,FANCA,,orphadata,ORPHA:84
HP:0001636,Tetralogy of Fallot,9275,BCL7B,,orphadata,ORPHA:904
HP:0001636,Tetralogy of Fallot,9897,WASHC5,,orphadata,ORPHA:7
HP:0001636,Tetralogy of Fallot,5727,PTCH1,,orphadata,ORPHA:280200
HP:0001636,Tetralogy of Fallot,1147,CHUK,-,mim2gene,OMIM:613630
HP:0001636,Tetralogy of Fallot,2189,FANCG,,orphadata,ORPHA:84
HP:0001636,Tetralogy of Fallot,8289,ARID1A,,orphadata,ORPHA:1465
HP:0001636,Tetralogy of Fallot,2294,FOXF1,,orphadata,ORPHA:210122
HP:0001636,Tetralogy of Fallot,8510,MMP23B,,orphadata,ORPHA:1606
HP:0001636,Tetralogy of Fallot,6496,SIX3,,orphadata,ORPHA:280200
HP:0001636,Tetralogy of Fallot,50937,CDON,,orphadata,ORPHA:280200
HP:0001636,Tetralogy of Fallot,182,JAG1,question,mim2gene,OMIM:617992
