HPO-id,HPO label,entrz-gene-id,entrez-gene-symbol,additional info from G-D source,G-D source,Disease-ID for link
HP:0033186,Misalignment of the pulmonary veins,,,,,
,,6439,SFTPB,-,mim2gene,OMIM:265120
,,2294,FOXF1,-,mim2gene,OMIM:265380
HP:0033379,Bilateral superior vena cava,,,,,
,,55315,SLC29A3,-,mim2gene,OMIM:602782
,,5567,PRKACB,-,mim2gene,OMIM:619143
,,81857,MED25,,orphadata,ORPHA:464738
,,8772,FADD,-,mim2gene,OMIM:613759
HP:0001636,Tetralogy of Fallot,,,,,
,,285203,EOGT,,orphadata,ORPHA:974
,,2619,GAS1,,orphadata,ORPHA:280200
,,51085,MLXIPL,,orphadata,ORPHA:904
,,1312,COMT,,orphadata,ORPHA:567
,,10370,CITED2,,orphadata,ORPHA:3303
,,5885,RAD21,-,mim2gene,OMIM:614701
,,23129,PLXND1,,orphadata,ORPHA:3384
,,2626,GATA4,question,mim2gene,OMIM:615542
,,196528,ARID2,,orphadata,ORPHA:1465
,,6499,SKIV2L,,orphadata,ORPHA:84064
,,5888,RAD51,,orphadata,ORPHA:84
,,2627,GATA6,-,mim2gene,OMIM:600001
,,57167,SALL4,question,mim2gene,OMIM:147750
,,9939,RBM8A,,orphadata,ORPHA:3320
,,1482,NKX2-5,,orphadata,ORPHA:3303
,,9896,FIG4,-,mim2gene,OMIM:216340
,,2969,GTF2I,,orphadata,ORPHA:904
,,2176,FANCC,,orphadata,ORPHA:84
,,137814,NKX2-6,,orphadata,ORPHA:3303
,,653361,NCF1,,orphadata,ORPHA:904
,,4920,ROR2,,orphadata,ORPHA:1507
,,2657,GDF1,-,mim2gene,OMIM:613854
,,7026,NR2F2,-,mim2gene,OMIM:615779
,,23384,SPECC1L,,orphadata,ORPHA:1519
,,8214,DGCR6,-,mim2gene,OMIM:192430
,,3984,LIMK1,,orphadata,ORPHA:904
,,7458,EIF4H,,orphadata,ORPHA:904
,,2627,GATA6,-,mim2gene,OMIM:187500
,,2188,FANCF,,orphadata,ORPHA:84
,,123606,NIPA1,,orphadata,ORPHA:261183
,,55697,VAC14,,orphadata,ORPHA:3472
,,2072,ERCC4,,orphadata,ORPHA:84
,,6899,TBX1,,orphadata,ORPHA:567
,,27152,INTU,question,mim2gene,OMIM:617925
,,2177,FANCD2,,orphadata,ORPHA:84
,,5053,PAH,,orphadata,ORPHA:2209
,,8241,RBM10,,orphadata,ORPHA:2886
,,5590,PRKCZ,,orphadata,ORPHA:1606
,,83479,DDX59,,orphadata,ORPHA:2919
,,7283,TUBG1,,orphadata,ORPHA:261183
,,2626,GATA4,,orphadata,ORPHA:3303
,,57514,ARHGAP31,-,mim2gene,OMIM:100300
,,4838,NODAL,,orphadata,ORPHA:280200
,,57167,SALL4,,orphadata,ORPHA:959
,,22800,RRAS2,-,mim2gene,OMIM:618624
,,10277,UBE4B,,orphadata,ORPHA:1606
,,6597,SMARCA4,,orphadata,ORPHA:1465
,,9723,SEMA3E,,orphadata,ORPHA:138
,,421,ARVCF,,orphadata,ORPHA:567
,,3791,KDR,,orphadata,ORPHA:3303
,,55636,CHD7,-,mim2gene,OMIM:214800
,,7353,UFD1,,orphadata,ORPHA:567
,,257,ALX3,-,mim2gene,OMIM:136760
,,55120,FANCL,,orphadata,ORPHA:84
,,9723,SEMA3E,question,mim2gene,OMIM:214800
,,1108,CHD4,-,mim2gene,OMIM:617159
,,27152,INTU,question,mim2gene,OMIM:617926
,,2657,GDF1,-,mim2gene,OMIM:208530
,,6659,SOX4,,orphadata,ORPHA:1465
,,7290,HIRA,,orphadata,ORPHA:567
,,182,JAG1,,orphadata,ORPHA:3303
,,6598,SMARCB1,,orphadata,ORPHA:1465
,,4853,NOTCH2,-,mim2gene,OMIM:610205
,,57514,ARHGAP31,,orphadata,ORPHA:974
,,79728,PALB2,,orphadata,ORPHA:84
,,745,MYRF,-,mim2gene,OMIM:618280
,,8514,KCNAB2,,orphadata,ORPHA:1606
,,6601,SMARCC2,,orphadata,ORPHA:1465
,,6125,RPL5,-,mim2gene,OMIM:612561
,,775,CACNA1C,-,mim2gene,OMIM:601005
,,10459,MAD2L2,,orphadata,ORPHA:84
,,9839,ZEB2,,orphadata,ORPHA:261537
,,2175,FANCA,,orphadata,ORPHA:84
,,9275,BCL7B,,orphadata,ORPHA:904
,,9897,WASHC5,,orphadata,ORPHA:7
,,5727,PTCH1,,orphadata,ORPHA:280200
,,1147,CHUK,-,mim2gene,OMIM:613630
,,2189,FANCG,,orphadata,ORPHA:84
,,8289,ARID1A,,orphadata,ORPHA:1465
,,2294,FOXF1,,orphadata,ORPHA:210122
,,8510,MMP23B,,orphadata,ORPHA:1606
,,6496,SIX3,,orphadata,ORPHA:280200
,,50937,CDON,,orphadata,ORPHA:280200
,,182,JAG1,question,mim2gene,OMIM:617992
,,9652,TTC37,,orphadata,ORPHA:84064
,,6899,TBX1,-,mim2gene,OMIM:192430
,,6664,SOX11,,orphadata,ORPHA:1465
,,10630,PDPN,,orphadata,ORPHA:1606
,,1482,NKX2-5,-,mim2gene,OMIM:108900
,,6899,TBX1,,orphadata,ORPHA:1727
,,9772,TMEM94,-,mim2gene,OMIM:618316
,,4851,NOTCH1,,orphadata,ORPHA:974
,,6605,SMARCE1,,orphadata,ORPHA:1465
,,51684,SUFU,,orphadata,ORPHA:280200
,,63976,PRDM16,,orphadata,ORPHA:1606
,,57492,ARID1B,,orphadata,ORPHA:1465
,,55636,CHD7,,orphadata,ORPHA:138
,,23118,TAB2,-,mim2gene,OMIM:614980
,,51339,DACT1,,orphadata,ORPHA:857
,,182,JAG1,-,mim2gene,OMIM:118450
,,2542,SLC37A4,-,mim2gene,OMIM:619525
,,57492,ARID1B,-,mim2gene,OMIM:135900
,,64359,NXN,,orphadata,ORPHA:1507
,,9632,SEC24C,,orphadata,ORPHA:567
,,155368,METTL27,,orphadata,ORPHA:904
,,2627,GATA6,,orphadata,ORPHA:2255
,,100151683,RNU4ATAC,-,mim2gene,OMIM:210710
,,26608,TBL2,,orphadata,ORPHA:904
,,8241,RBM10,-,mim2gene,OMIM:311900
,,6899,TBX1,,orphadata,ORPHA:3303
,,23556,PIGN,,orphadata,ORPHA:2059
,,2324,FLT4,,orphadata,ORPHA:3303
,,2187,FANCB,,orphadata,ORPHA:84
,,9839,ZEB2,,orphadata,ORPHA:261552
,,84976,DISP1,,orphadata,ORPHA:280200
,,55215,FANCI,,orphadata,ORPHA:84
,,7490,WT1,-,mim2gene,OMIM:608978
,,8220,ESS2,-,mim2gene,OMIM:192430
,,9896,FIG4,,orphadata,ORPHA:3472
,,57697,FANCM,,orphadata,ORPHA:84
,,1482,NKX2-5,-,mim2gene,OMIM:187500
,,3339,HSPG2,,orphadata,ORPHA:1606
,,8092,ALX1,,orphadata,ORPHA:306542
,,2253,FGF8,,orphadata,ORPHA:280200
,,23013,SPEN,,orphadata,ORPHA:1606
,,1131,CHRM3,,orphadata,ORPHA:2970
,,473,RERE,,orphadata,ORPHA:1606
,,140628,GATA5,-,mim2gene,OMIM:617912
,,79813,EHMT1,,orphadata,ORPHA:96147
,,2006,ELN,,orphadata,ORPHA:904
,,23013,SPEN,,orphadata,ORPHA:1606
,,135886,TMEM270,,orphadata,ORPHA:904
,,6899,TBX1,,orphadata,ORPHA:567
,,83990,BRIP1,,orphadata,ORPHA:84
,,5982,RFC2,,orphadata,ORPHA:904
,,1349,COX7B,-,mim2gene,OMIM:300887
,,2294,FOXF1,-,mim2gene,OMIM:265380
,,5977,DPF2,,orphadata,ORPHA:1465
,,6997,TDGF1,,orphadata,ORPHA:280200
,,84464,SLX4,,orphadata,ORPHA:84
,,7546,ZIC2,,orphadata,ORPHA:280200
,,29998,BICRA,-,mim2gene,OMIM:619325
,,8468,FKBP6,,orphadata,ORPHA:904
,,6804,STX1A,,orphadata,ORPHA:904
,,81614,NIPA2,,orphadata,ORPHA:261183
,,9487,PIGL,,orphadata,ORPHA:3474
,,7050,TGIF1,,orphadata,ORPHA:280200
,,6602,SMARCD1,,orphadata,ORPHA:1465
,,10847,SRCAP,,orphadata,ORPHA:2044
,,57572,DOCK6,,orphadata,ORPHA:974
,,7490,WT1,,orphadata,ORPHA:3097
,,26275,HIBCH,,orphadata,ORPHA:88639
,,9031,BAZ1B,,orphadata,ORPHA:904
,,51715,RAB23,-,mim2gene,OMIM:201000
,,2260,FGFR1,,orphadata,ORPHA:280200
,,23414,ZFPM2,-,mim2gene,OMIM:187500
,,22827,PUF60,,orphadata,ORPHA:508498
,,9993,DGCR2,-,mim2gene,OMIM:192430
,,54897,CASZ1,,orphadata,ORPHA:1606
,,140628,GATA5,,orphadata,ORPHA:3303
,,8928,FOXH1,,orphadata,ORPHA:280200
,,114049,BUD23,,orphadata,ORPHA:904
,,7319,UBE2A,,orphadata,ORPHA:163956
,,5889,RAD51C,,orphadata,ORPHA:84
,,2178,FANCE,,orphadata,ORPHA:84
,,84277,DNAJC30,,orphadata,ORPHA:904
,,2626,GATA4,,orphadata,ORPHA:251071
,,23414,ZFPM2,,orphadata,ORPHA:3303
,,221037,JMJD1C,,orphadata,ORPHA:567
,,182,JAG1,-,mim2gene,OMIM:187500
,,84163,GTF2IRD2,,orphadata,ORPHA:904
,,2657,GDF1,,orphadata,ORPHA:3303
,,28952,CCDC22,,orphadata,ORPHA:7
,,6899,TBX1,-,mim2gene,OMIM:188400
,,2303,FOXC2,-,mim2gene,OMIM:153400
,,9487,PIGL,-,mim2gene,OMIM:280000
,,155382,VPS37D,,orphadata,ORPHA:904
,,29089,UBE2T,,orphadata,ORPHA:84
,,137814,NKX2-6,,orphadata,ORPHA:3384
,,64220,STRA6,-,mim2gene,OMIM:601186
,,8195,MKKS,,orphadata,ORPHA:2473
,,6299,SALL1,-,mim2gene,OMIM:107480
,,7798,LUZP1,,orphadata,ORPHA:1606
,,6899,TBX1,-,mim2gene,OMIM:187500
,,7355,SLC35A2,,orphadata,ORPHA:356961
,,6299,SALL1,,orphadata,ORPHA:857
,,54567,DLL4,,orphadata,ORPHA:974
,,7852,CXCR4,,orphadata,ORPHA:51636
,,2736,GLI2,,orphadata,ORPHA:280200
,,2702,GJA5,,orphadata,ORPHA:3303
,,54916,TMEM260,-,mim2gene,OMIM:617478
,,9652,TTC37,-,mim2gene,OMIM:222470
,,10262,SF3B4,-,mim2gene,OMIM:154400
,,55159,RFWD3,,orphadata,ORPHA:84
,,2324,FLT4,-,mim2gene,OMIM:618780
,,2627,GATA6,,orphadata,ORPHA:3303
,,6469,SHH,,orphadata,ORPHA:280200
,,2563,GABRD,,orphadata,ORPHA:1606
,,6497,SKI,,orphadata,ORPHA:1606
,,6135,RPL11,-,mim2gene,OMIM:612562
,,28514,DLL1,,orphadata,ORPHA:280200
,,54487,DGCR8,-,mim2gene,OMIM:192430
,,675,BRCA2,,orphadata,ORPHA:84
,,7516,XRCC2,,orphadata,ORPHA:84
,,6239,RREB1,,orphadata,ORPHA:567
,,1663,DDX11,-,mim2gene,OMIM:613398
,,7461,CLIP2,,orphadata,ORPHA:904
,,3516,RBPJ,,orphadata,ORPHA:974
,,26275,HIBCH,-,mim2gene,OMIM:250620
,,2812,GP1BB,,orphadata,ORPHA:567
,,2626,GATA4,-,mim2gene,OMIM:187500
,,9897,WASHC5,-,mim2gene,OMIM:220210
,,9569,GTF2IRD1,,orphadata,ORPHA:904
,,9939,RBM8A,-,mim2gene,OMIM:274000
,,1024,CDK8,-,mim2gene,OMIM:618748
,,673,BRAF,-,mim2gene,OMIM:613707
,,672,BRCA1,,orphadata,ORPHA:84
,,10084,PQBP1,-,mim2gene,OMIM:309500
HP:0001643,Patent ductus arteriosus,,,,,
,,473,RERE,-,mim2gene,OMIM:616975
,,4089,SMAD4,-,mim2gene,OMIM:139210
,,7046,TGFBR1,,orphadata,ORPHA:91387
,,1312,COMT,,orphadata,ORPHA:567
,,7994,KAT6A,,orphadata,ORPHA:457193
,,9839,ZEB2,-,mim2gene,OMIM:235730
,,8726,EED,-,mim2gene,OMIM:617561
,,23129,PLXND1,,orphadata,ORPHA:3384
,,285203,EOGT,-,mim2gene,OMIM:615297
,,6499,SKIV2L,,orphadata,ORPHA:84064
,,5888,RAD51,,orphadata,ORPHA:84
,,2627,GATA6,-,mim2gene,OMIM:600001
,,4144,MAT2A,,orphadata,ORPHA:91387
,,57167,SALL4,question,mim2gene,OMIM:147750
,,2719,GPC3,-,mim2gene,OMIM:312870
,,10060,ABCC9,,orphadata,ORPHA:1517
,,998,CDC42,,orphadata,ORPHA:487796
,,9949,AMMECR1,,orphadata,ORPHA:86818
,,2261,FGFR3,,orphadata,ORPHA:1860
,,2969,GTF2I,,orphadata,ORPHA:904
,,2176,FANCC,,orphadata,ORPHA:84
,,153241,CEP120,-,mim2gene,OMIM:616300
,,54880,BCOR,,orphadata,ORPHA:2712
,,653361,NCF1,,orphadata,ORPHA:904
,,415,ARSL,,orphadata,ORPHA:79345
,,4629,MYH11,-,mim2gene,OMIM:132900
,,2201,FBN2,-,mim2gene,OMIM:121050
,,8802,SUCLG1,,orphadata,ORPHA:17
,,7458,EIF4H,,orphadata,ORPHA:904
,,5824,PEX19,-,mim2gene,OMIM:614886
,,9968,MED12,-,mim2gene,OMIM:301068
,,9533,POLR1C,,orphadata,ORPHA:861
,,139285,AMER1,-,mim2gene,OMIM:300373
,,2188,FANCF,,orphadata,ORPHA:84
,,55249,YY1AP1,,orphadata,ORPHA:79094
,,348180,CTU2,-,mim2gene,OMIM:618142
,,2072,ERCC4,,orphadata,ORPHA:84
,,79989,TTC26,-,mim2gene,OMIM:619534
,,2239,GPC4,-,mim2gene,OMIM:312870
,,2177,FANCD2,,orphadata,ORPHA:84
,,3481,IGF2,-,mim2gene,OMIM:616489
,,7372,UMPS,,orphadata,ORPHA:30
,,284058,KANSL1,-,mim2gene,OMIM:610443
,,4613,MYCN,,orphadata,ORPHA:391641
,,89970,RSPRY1,,orphadata,ORPHA:457395
,,9325,TRIP4,-,mim2gene,OMIM:616866
,,6597,SMARCA4,,orphadata,ORPHA:1465
,,4613,MYCN,-,mim2gene,OMIM:164280
,,55690,PACS1,-,mim2gene,OMIM:615009
,,55315,SLC29A3,-,mim2gene,OMIM:602782
,,55636,CHD7,-,mim2gene,OMIM:214800
,,808,CALM3,-,mim2gene,OMIM:618782
,,55191,NADSYN1,-,mim2gene,OMIM:618845
,,7048,TGFBR2,,orphadata,ORPHA:91387
,,157570,ESCO2,-,mim2gene,OMIM:268300
,,55120,FANCL,,orphadata,ORPHA:84
,,4088,SMAD3,,orphadata,ORPHA:284984
,,1857,DVL3,-,mim2gene,OMIM:616894
,,79228,THOC6,-,mim2gene,OMIM:613680
,,9496,TBX4,,orphadata,ORPHA:261279
,,9723,SEMA3E,question,mim2gene,OMIM:214800
,,4281,MID1,,orphadata,ORPHA:2745
,,10102,TSFM,-,mim2gene,OMIM:610505
,,26227,PHGDH,-,mim2gene,OMIM:256520
,,29957,SLC25A24,-,mim2gene,OMIM:612289
,,3248,HPGD,-,mim2gene,OMIM:259100
,,4088,SMAD3,,orphadata,ORPHA:91387
,,6657,SOX2,-,mim2gene,OMIM:206900
,,6598,SMARCB1,,orphadata,ORPHA:1465
,,57539,WDR35,-,mim2gene,OMIM:613610
,,51082,POLR1D,,orphadata,ORPHA:861
,,10459,MAD2L2,,orphadata,ORPHA:84
,,85358,SHANK3,-,mim2gene,OMIM:606232
,,2175,FANCA,,orphadata,ORPHA:84
,,9275,BCL7B,,orphadata,ORPHA:904
,,2296,FOXC1,-,mim2gene,OMIM:602482
,,8289,ARID1A,,orphadata,ORPHA:1465
,,7046,TGFBR1,-,mim2gene,OMIM:609192
,,6016,RIT1,-,mim2gene,OMIM:615355
,,2187,FANCB,-,mim2gene,OMIM:300514
,,2261,FGFR3,,orphadata,ORPHA:93274
,,4629,MYH11,,orphadata,ORPHA:229
,,7042,TGFB2,,orphadata,ORPHA:91387
,,51322,WAC,,orphadata,ORPHA:284169
,,7021,TFAP2B,-,mim2gene,OMIM:169100
,,10225,CD96,-,mim2gene,OMIM:211750
,,4629,MYH11,-,mim2gene,OMIM:619351
,,9652,TTC37,,orphadata,ORPHA:84064
,,6664,SOX11,,orphadata,ORPHA:1465
,,9772,TMEM94,-,mim2gene,OMIM:618316
,,63976,PRDM16,,orphadata,ORPHA:1606
,,57492,ARID1B,,orphadata,ORPHA:1465
,,55636,CHD7,,orphadata,ORPHA:138
,,4088,SMAD3,-,mim2gene,OMIM:613795
,,57492,ARID1B,-,mim2gene,OMIM:135900
,,23556,PIGN,,orphadata,ORPHA:280633
,,155368,METTL27,,orphadata,ORPHA:904
,,2627,GATA6,,orphadata,ORPHA:2255
,,3782,KCNN3,-,mim2gene,OMIM:618658
,,1717,DHCR7,-,mim2gene,OMIM:270400
