HPO-id,HPO label,entrz-gene-id,entrez-gene-symbol,additional info from G-D source,G-D source,Disease-ID for link,
HP:0000078,Abnormality of the genital system,7157,TP53,,orphadata,ORPHA:1501,
,Abnormality of the genital system,4000,LMNA,,orphadata,ORPHA:2229,
,Abnormality of the genital system,8842,PROM1,,orphadata,ORPHA:791,
,Abnormality of the genital system,3592,IL12A,,orphadata,ORPHA:117,
,Abnormality of the genital system,7994,KAT6A,,orphadata,ORPHA:457193,
,Abnormality of the genital system,89884,LHX4,,orphadata,ORPHA:95496,
,Abnormality of the genital system,9839,ZEB2,-,mim2gene,OMIM:235730,
,Abnormality of the genital system,6905,TBCE,,orphadata,ORPHA:2323,
,Abnormality of the genital system,54585,LZTFL1,-,mim2gene,OMIM:615994,
,Abnormality of the genital system,259232,NALCN,-,mim2gene,OMIM:615419,
,Abnormality of the genital system,2212,FCGR2A,susceptibility,mim2gene,OMIM:219700,
,Abnormality of the genital system,25914,RTTN,,orphadata,ORPHA:468631,
,Abnormality of the genital system,219844,HYLS1,,orphadata,ORPHA:2189,
,Abnormality of the genital system,215,ABCD1,-,mim2gene,OMIM:300100,
,Abnormality of the genital system,57167,SALL4,question,mim2gene,OMIM:147750,
,Abnormality of the genital system,6237,RRAS,,orphadata,ORPHA:648,
,Abnormality of the genital system,10587,TXNRD2,,orphadata,ORPHA:361,
,Abnormality of the genital system,8818,DPM2,,orphadata,ORPHA:329178,
,Abnormality of the genital system,3703,STT3A,,orphadata,ORPHA:370921,
,Abnormality of the genital system,5881,RAC3,-,mim2gene,OMIM:618577,
,Abnormality of the genital system,2719,GPC3,-,mim2gene,OMIM:312870,
,Abnormality of the genital system,1349,COX7B,-,mim2gene,OMIM:309801,
,Abnormality of the genital system,998,CDC42,,orphadata,ORPHA:487796,
,Abnormality of the genital system,585,BBS4,-,mim2gene,OMIM:615982,
,Abnormality of the genital system,2147,F2,,orphadata,ORPHA:325,
,Abnormality of the genital system,579,NKX3-2,-,mim2gene,OMIM:613330,
,Abnormality of the genital system,2625,GATA3,,orphadata,ORPHA:2237,
,Abnormality of the genital system,5015,OTX2,-,mim2gene,OMIM:610125,
,Abnormality of the genital system,6638,SNRPN,,orphadata,ORPHA:177904,
,Abnormality of the genital system,3339,HSPG2,,orphadata,ORPHA:800,
,Abnormality of the genital system,2132,EXT2,,orphadata,ORPHA:52022,
,Abnormality of the genital system,254394,MCM9,-,mim2gene,OMIM:616185,
,Abnormality of the genital system,1589,CYP21A2,-,mim2gene,OMIM:201910,
