gene_short_name,Heart_assoc_HPOs,Heart_HP_Count,pvalue_Heart_more,pvalue_Heart_less
AARS2,HP:0001627,1,,
ABCA1,"HP:0001627, HP:0001711, HP:0001713",3,,
ABCC6,"HP:0001627, HP:0001654, HP:0001659, HP:0001713, HP:0001726, HP:0001751, HP:0006705",7,,0.006579389
ABCC8,HP:0001627,1,,
ABCC9,"HP:0001627, HP:0001646, HP:0001647, HP:0001654, HP:0001711, HP:0001713, HP:0005129",7,0.006704019,
ABCD4,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
ABCG5,"HP:0001627, HP:0001713",2,,
ABCG8,"HP:0001627, HP:0001713",2,,0.033415931
ABHD5,HP:0001627,1,,
ABL1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,0.010635543
ACAD8,HP:0001627,1,0.002718174,
ACAD9,HP:0001627,1,,0.031480348
ACADM,HP:0001627,1,0.002184168,
ACADS,HP:0001627,1,,
ACADVL,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,0.012931541,
ACSL4,"HP:0001627, HP:0001646, HP:0001654",3,,
ACTA1,"HP:0001627, HP:0001707, HP:0001713",3,2.18982E-05,
ACTA2,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.004109691,
ACTB,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.005695783,
ACTC1,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001707, HP:0001711, HP:0001713, HP:0001716, HP:0005120, HP:0006705, HP:0011994, HP:0025580, HP:0030681, HP:0031192",14,3.19134E-09,
ACTG2,HP:0001627,1,,
ACTN2,"HP:0001627, HP:0001706, HP:0001711, HP:0001713, HP:0006685, HP:0030681, HP:0031192",7,8.5568E-07,
ACVR2B,"HP:0001627, HP:0001629, HP:0001651, HP:0001671, HP:0001713, HP:0006695, HP:0010438",7,,
ADA2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
ADAM17,"HP:0001627, HP:0001711, HP:0001713",3,,
ADAMTS10,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
ADAMTS3,HP:0001627,1,,
ADAR,HP:0001627,1,,
ADAT3,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
ADCY5,HP:0001627,1,0.021106859,
ADK,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,0.048418765
ADNP,HP:0001627,1,,
ADORA2A,HP:0001627,1,,
AEBP1,"HP:0001627, HP:0001654, HP:0001732, HP:0001803, HP:0006705",5,0.018812794,
AFF4,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,0.000141728
AGGF1,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001702, HP:0005120, HP:0006705, HP:0011994",8,,
AGK,HP:0001627,1,,
AGL,"HP:0001627, HP:0001713",2,,
AGO2,"HP:0001627, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0005120, HP:0011994",9,,0.003412203
AGPAT2,HP:0001627,1,,
AHCY,HP:0001627,1,0.041395756,
AHI1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
AIP,"HP:0001627, HP:0001711, HP:0001713",3,6.03181E-05,
AKT3,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
ALDH18A1,"HP:0001627, HP:0001713",2,,
ALG1,HP:0001627,1,,
