HPO-id,HPO label,entrz-gene-id,entrez-gene-symbol,additional info from G-D source,G-D source,Disease-ID for link
HP:0001627,Abnormal heart morphology,54820,NDE1,,orphadata,ORPHA:2177
HP:0001627,Abnormal heart morphology,4000,LMNA,,orphadata,ORPHA:2229
HP:0001627,Abnormal heart morphology,3592,IL12A,,orphadata,ORPHA:117
HP:0001627,Abnormal heart morphology,7994,KAT6A,,orphadata,ORPHA:457193
HP:0001627,Abnormal heart morphology,9839,ZEB2,-,mim2gene,OMIM:235730
HP:0001627,Abnormal heart morphology,2934,GSN,-,mim2gene,OMIM:105120
HP:0001627,Abnormal heart morphology,54585,LZTFL1,-,mim2gene,OMIM:615994
HP:0001627,Abnormal heart morphology,2212,FCGR2A,susceptibility,mim2gene,OMIM:219700
HP:0001627,Abnormal heart morphology,7386,UQCRFS1,-,mim2gene,OMIM:618775
HP:0001627,Abnormal heart morphology,2627,GATA6,-,mim2gene,OMIM:600001
HP:0001627,Abnormal heart morphology,64131,XYLT1,,orphadata,ORPHA:1425
HP:0001627,Abnormal heart morphology,57167,SALL4,question,mim2gene,OMIM:147750
HP:0001627,Abnormal heart morphology,6237,RRAS,,orphadata,ORPHA:648
HP:0001627,Abnormal heart morphology,10587,TXNRD2,,orphadata,ORPHA:361
HP:0001627,Abnormal heart morphology,2626,GATA4,-,mim2gene,OMIM:607941
HP:0001627,Abnormal heart morphology,57057,TBX20,,orphadata,ORPHA:99103
HP:0001627,Abnormal heart morphology,2719,GPC3,-,mim2gene,OMIM:312870
HP:0001627,Abnormal heart morphology,1349,COX7B,-,mim2gene,OMIM:309801
HP:0001627,Abnormal heart morphology,2184,FAH,-,mim2gene,OMIM:276700
HP:0001627,Abnormal heart morphology,998,CDC42,,orphadata,ORPHA:487796
HP:0001627,Abnormal heart morphology,6873,TAF2,,orphadata,ORPHA:397951
HP:0001627,Abnormal heart morphology,2625,GATA3,,orphadata,ORPHA:2237
HP:0001627,Abnormal heart morphology,51067,YARS2,-,mim2gene,OMIM:613561
HP:0001627,Abnormal heart morphology,1674,DES,-,mim2gene,OMIM:601419
HP:0001627,Abnormal heart morphology,54880,BCOR,,orphadata,ORPHA:2712
HP:0001627,Abnormal heart morphology,291,SLC25A4,-,mim2gene,OMIM:617184
HP:0001627,Abnormal heart morphology,7050,TGIF1,,orphadata,ORPHA:93925
HP:0001627,Abnormal heart morphology,95681,CEP41,,orphadata,ORPHA:220493
HP:0001627,Abnormal heart morphology,2070,EYA4,question,mim2gene,OMIM:605362
HP:0001627,Abnormal heart morphology,1000,CDH2,-,mim2gene,OMIM:618929
HP:0001627,Abnormal heart morphology,6654,SOS 1,-,mim2gene,OMIM:610733
HP:0001627,Abnormal heart morphology,317662,FAM149B1,,orphadata,ORPHA:2754
HP:0001627,Abnormal heart morphology,5664,PSEN2,-,mim2gene,OMIM:613697
HP:0001627,Abnormal heart morphology,7040,TGFB1,,orphadata,ORPHA:1328
HP:0001627,Abnormal heart morphology,2071,ERCC3,,orphadata,ORPHA:33364
HP:0001627,Abnormal heart morphology,2188,FANCF,,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,4705,NDUFA10,,orphadata,ORPHA:255241
HP:0001627,Abnormal heart morphology,10300,KATNB1,,orphadata,ORPHA:89844
HP:0001627,Abnormal heart morphology,2072,ERCC4,,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,26119,LDLRAP1,,orphadata,ORPHA:391665
HP:0001627,Abnormal heart morphology,5191,PEX7,-,mim2gene,OMIM:614879
HP:0001627,Abnormal heart morphology,2177,FANCD2,,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,6901,TAFAZZIN,,orphadata,ORPHA:111
HP:0001627,Abnormal heart morphology,5053,PAH,,orphadata,ORPHA:2209
HP:0001627,Abnormal heart morphology,8241,RBM10,,orphadata,ORPHA:2886
HP:0001627,Abnormal heart morphology,10516,FBLN5,,orphadata,ORPHA:90349
HP:0001627,Abnormal heart morphology,4625,MYH7,,orphadata,ORPHA:59135
HP:0001627,Abnormal heart morphology,7283,TUBG1,,orphadata,ORPHA:261183
HP:0001627,Abnormal heart morphology,56652,TWNK,,orphadata,ORPHA:254892
HP:0001627,Abnormal heart morphology,7026,NR2F2,-,mim2gene,OMIM:618901
HP:0001627,Abnormal heart morphology,546,ATRX,,orphadata,ORPHA:100075
HP:0001627,Abnormal heart morphology,4566,TRNK,,orphadata,ORPHA:1349
HP:0001627,Abnormal heart morphology,7547,ZIC3,-,mim2gene,OMIM:314390
HP:0001627,Abnormal heart morphology,5889,RAD51C,-,mim2gene,OMIM:613390
HP:0001627,Abnormal heart morphology,89765,RSPH1,,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,9325,TRIP4,-,mim2gene,OMIM:616866
HP:0001627,Abnormal heart morphology,63976,PRDM16,,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,5836,PYGL,,orphadata,ORPHA:369
HP:0001627,Abnormal heart morphology,105259599,H19-ICR,-,mim2gene,OMIM:130650
HP:0001627,Abnormal heart morphology,8292,COLQ,,orphadata,ORPHA:98915
HP:0001627,Abnormal heart morphology,7248,TSC1,-,mim2gene,OMIM:191100
HP:0001627,Abnormal heart morphology,8481,OFD1,,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,55191,NADSYN1,-,mim2gene,OMIM:618845
HP:0001627,Abnormal heart morphology,50619,DEF6,-,mim2gene,OMIM:619573
HP:0001627,Abnormal heart morphology,5428,POLG,,orphadata,ORPHA:254892
HP:0001627,Abnormal heart morphology,37,ACADVL,,orphadata,ORPHA:26793
HP:0001627,Abnormal heart morphology,132,ADK,-,mim2gene,OMIM:614300
HP:0001627,Abnormal heart morphology,4000,LMNA,,orphadata,ORPHA:740
HP:0001627,Abnormal heart morphology,4052,LTBP1,,orphadata,ORPHA:90349
HP:0001627,Abnormal heart morphology,6775,STAT4,,orphadata,ORPHA:117
HP:0001627,Abnormal heart morphology,5830,PEX5,,orphadata,ORPHA:772
HP:0001627,Abnormal heart morphology,5325,PLAGL1,,orphadata,ORPHA:99886
HP:0001627,Abnormal heart morphology,50937,CDON,,orphadata,ORPHA:93925
HP:0001627,Abnormal heart morphology,79813,EHMT1,-,mim2gene,OMIM:610253
HP:0001627,Abnormal heart morphology,7170,TPM3,,orphadata,ORPHA:171881
HP:0001627,Abnormal heart morphology,81857,MED25,-,mim2gene,OMIM:616449
HP:0001627,Abnormal heart morphology,51218,GLRX5,,orphadata,ORPHA:401866
HP:0001627,Abnormal heart morphology,2176,FANCC,-,mim2gene,OMIM:227645
HP:0001627,Abnormal heart morphology,8260,NAA10,,orphadata,ORPHA:276432
HP:0001627,Abnormal heart morphology,5264,PHYH,-,mim2gene,OMIM:266500
HP:0001627,Abnormal heart morphology,57017,COQ9,-,mim2gene,OMIM:614654
HP:0001627,Abnormal heart morphology,6598,SMARCB1,,orphadata,ORPHA:1465
HP:0001627,Abnormal heart morphology,2318,FLNC,,orphadata,ORPHA:63273
HP:0001627,Abnormal heart morphology,2737,GLI3,-,mim2gene,OMIM:175700
HP:0001627,Abnormal heart morphology,5915,RARB,-,mim2gene,OMIM:615524
HP:0001627,Abnormal heart morphology,4728,NDUFS8,,orphadata,ORPHA:2609
HP:0001627,Abnormal heart morphology,5428,POLG,,orphadata,ORPHA:70595
HP:0001627,Abnormal heart morphology,6445,SGCG,,orphadata,ORPHA:353
HP:0001627,Abnormal heart morphology,10459,MAD2L2,,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,6392,SDHD,-,mim2gene,OMIM:619167
HP:0001627,Abnormal heart morphology,23389,MED13L,-,mim2gene,OMIM:616789
HP:0001627,Abnormal heart morphology,2175,FANCA,,orphadata,ORPHA:84
HP:0001627,Abnormal heart morphology,58508,KMT2C,,orphadata,ORPHA:261652
HP:0001627,Abnormal heart morphology,5727,PTCH1,,orphadata,ORPHA:280200
HP:0001627,Abnormal heart morphology,1182,CLCN3,-,mim2gene,OMIM:619512
HP:0001627,Abnormal heart morphology,6597,SMARCA4,-,mim2gene,OMIM:614609
HP:0001627,Abnormal heart morphology,100131801,PET100,,orphadata,ORPHA:255241
HP:0001627,Abnormal heart morphology,478,ATP1A3,,orphadata,ORPHA:2131
HP:0001627,Abnormal heart morphology,7046,TGFBR1,-,mim2gene,OMIM:609192
HP:0001627,Abnormal heart morphology,3914,LAMB3,,orphadata,ORPHA:79404
HP:0001627,Abnormal heart morphology,6448,SGSH,-,mim2gene,OMIM:252900
HP:0001627,Abnormal heart morphology,1656,DDX6,-,mim2gene,OMIM:618653
HP:0001627,Abnormal heart morphology,673,BRAF,-,mim2gene,OMIM:613706
