HPO-id,HPO label,entrz-gene-id,entrez-gene-symbol,additional info from G-D source,G-D source,Disease-ID for link,
HP:0000078,Abnormality of the genital system,7157,TP53,,orphadata,ORPHA:1501,
HP:0000078,Abnormality of the genital system,4000,LMNA,,orphadata,ORPHA:2229,
HP:0000078,Abnormality of the genital system,8842,PROM1,,orphadata,ORPHA:791,
HP:0000078,Abnormality of the genital system,3592,IL12A,,orphadata,ORPHA:117,
HP:0000078,Abnormality of the genital system,7994,KAT6A,,orphadata,ORPHA:457193,
HP:0000078,Abnormality of the genital system,89884,LHX4,,orphadata,ORPHA:95496,
HP:0000078,Abnormality of the genital system,9839,ZEB2,-,mim2gene,OMIM:235730,
HP:0000078,Abnormality of the genital system,6905,TBCE,,orphadata,ORPHA:2323,
HP:0000078,Abnormality of the genital system,54585,LZTFL1,-,mim2gene,OMIM:615994,
HP:0000078,Abnormality of the genital system,259232,NALCN,-,mim2gene,OMIM:615419,
HP:0000078,Abnormality of the genital system,2212,FCGR2A,susceptibility,mim2gene,OMIM:219700,
HP:0000078,Abnormality of the genital system,25914,RTTN,,orphadata,ORPHA:468631,
HP:0000078,Abnormality of the genital system,219844,HYLS1,,orphadata,ORPHA:2189,
HP:0000078,Abnormality of the genital system,215,ABCD1,-,mim2gene,OMIM:300100,
HP:0000078,Abnormality of the genital system,57167,SALL4,question,mim2gene,OMIM:147750,
HP:0000078,Abnormality of the genital system,6237,RRAS,,orphadata,ORPHA:648,
HP:0000078,Abnormality of the genital system,10587,TXNRD2,,orphadata,ORPHA:361,
HP:0000078,Abnormality of the genital system,8818,DPM2,,orphadata,ORPHA:329178,
HP:0000078,Abnormality of the genital system,3703,STT3A,,orphadata,ORPHA:370921,
HP:0000078,Abnormality of the genital system,5881,RAC3,-,mim2gene,OMIM:618577,
HP:0000078,Abnormality of the genital system,2719,GPC3,-,mim2gene,OMIM:312870,
HP:0000078,Abnormality of the genital system,1349,COX7B,-,mim2gene,OMIM:309801,
HP:0000078,Abnormality of the genital system,998,CDC42,,orphadata,ORPHA:487796,
HP:0000078,Abnormality of the genital system,585,BBS4,-,mim2gene,OMIM:615982,
HP:0000078,Abnormality of the genital system,2147,F2,,orphadata,ORPHA:325,
HP:0000078,Abnormality of the genital system,579,NKX3-2,-,mim2gene,OMIM:613330,
HP:0000078,Abnormality of the genital system,2625,GATA3,,orphadata,ORPHA:2237,
HP:0000078,Abnormality of the genital system,5015,OTX2,-,mim2gene,OMIM:610125,
HP:0000078,Abnormality of the genital system,6638,SNRPN,,orphadata,ORPHA:177904,
HP:0000078,Abnormality of the genital system,3339,HSPG2,,orphadata,ORPHA:800,
HP:0000078,Abnormality of the genital system,2132,EXT2,,orphadata,ORPHA:52022,
HP:0000078,Abnormality of the genital system,254394,MCM9,-,mim2gene,OMIM:616185,
HP:0000078,Abnormality of the genital system,1589,CYP21A2,-,mim2gene,OMIM:201910,
HP:0000078,Abnormality of the genital system,4683,NBN,,orphadata,ORPHA:145,
HP:0000078,Abnormality of the genital system,1000,CDH2,-,mim2gene,OMIM:618929,
HP:0000078,Abnormality of the genital system,6654,SOS1,-,mim2gene,OMIM:610733,
HP:0000078,Abnormality of the genital system,9442,MED27,,orphadata,ORPHA:528084,
HP:0000078,Abnormality of the genital system,7157,TP53,-,mim2gene,OMIM:618165,
HP:0000078,Abnormality of the genital system,317662,FAM149B1,,orphadata,ORPHA:2754,
HP:0000078,Abnormality of the genital system,7040,TGFB1,,orphadata,ORPHA:1328,
HP:0000078,Abnormality of the genital system,2071,ERCC3,,orphadata,ORPHA:33364,
