No,gene,Heart_assoc_HPOs,Heart_HP_Count,pvalue_Heart_more,pvalue_Heart_less
1,AARS2,HP:0001627,1,,
2,ABCA1,"HP:0001627, HP:0001711, HP:0001713",3,,
3,ABCC6,"HP:0001627, HP:0001654, HP:0001659, HP:0001713, HP:0001726, HP:0001751, HP:0006705",7,,0.006579389
4,ABCC8,HP:0001627,1,,
5,ABCC9,"HP:0001627, HP:0001646, HP:0001647, HP:0001654, HP:0001711, HP:0001713, HP:0005129",7,0.006704019,
6,ABCD4,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
7,ABCG5,"HP:0001627, HP:0001713",2,,
8,ABCG8,"HP:0001627, HP:0001713",2,,0.033415931
9,ABHD5,HP:0001627,1,,
10,ABL1,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,0.010635543
11,ACAD8,HP:0001627,1,0.002718174,
12,ACAD9,HP:0001627,1,,0.031480348
13,ACADM,HP:0001627,1,0.002184168,
14,ACADS,HP:0001627,1,,
15,ACADVL,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,0.012931541,
16,ACSL4,"HP:0001627, HP:0001646, HP:0001654",3,,
17,ACTA1,"HP:0001627, HP:0001707, HP:0001713",3,2.18982E-05,
18,ACTA2,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.004109691,
19,ACTB,"HP:0001627, HP:0001646, HP:0001647, HP:0001654",4,0.005695783,
20,ACTC1,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001707, HP:0001711, HP:0001713, HP:0001716, HP:0005120, HP:0006705, HP:0011994, HP:0025580, HP:0030681, HP:0031192",14,3.19134E-09,
21,ACTG2,HP:0001627,1,,
22,ACTN2,"HP:0001627, HP:0001706, HP:0001711, HP:0001713, HP:0006685, HP:0030681, HP:0031192",7,8.5568E-07,
23,ACVR2B,"HP:0001627, HP:0001629, HP:0001651, HP:0001671, HP:0001713, HP:0006695, HP:0010438",7,,
24,ADA2,"HP:0001627, HP:0001629, HP:0001631, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",8,,
25,ADAM17,"HP:0001627, HP:0001711, HP:0001713",3,,
26,ADAMTS10,"HP:0001627, HP:0001629, HP:0001671, HP:0001713, HP:0010438",5,,
27,ADAMTS3,HP:0001627,1,,
28,ADAR,HP:0001627,1,,
29,ADAT3,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,
30,ADCY5,HP:0001627,1,0.021106859,
31,ADK,"HP:0001627, HP:0001631, HP:0001671, HP:0005120, HP:0011994",5,,0.048418765
32,ADNP,HP:0001627,1,,
33,ADORA2A,HP:0001627,1,,
34,AEBP1,"HP:0001627, HP:0001654, HP:0001732, HP:0001803, HP:0006705",5,0.018812794,
35,AFF4,"HP:0001627, HP:0001629, HP:0001631, HP:0001655, HP:0001671, HP:0001713, HP:0005120, HP:0010438, HP:0011994",9,,0.000141728
36,AGGF1,"HP:0001627, HP:0001631, HP:0001654, HP:0001671, HP:0001702, HP:0005120, HP:0006705, HP:0011994",8,,
37,AGK,HP:0001627,1,,
38,AGL,"HP:0001627, HP:0001713",2,,
39,AGO2,"HP:0001627, HP:0001631, HP:0001646, HP:0001647, HP:0001654, HP:0001655, HP:0001671, HP:0005120, HP:0011994",9,,0.003412203
40,AGPAT2,HP:0001627,1,,
41,AHCY,HP:0001627,1,0.041395756,
42,AHI1,"HP:0001627, HP:0001651, HP:0001696, HP:0011534",4,,
43,AIP,"HP:0001627, HP:0001711, HP:0001713",3,6.03181E-05,
