No,gene,Great_vessel_assoc_disease,pvalue_GV_more,pvalue_GV_less,Obs
1,A2ML1,1,,,
2,AASS,1,0.018350352,,
3,ABCC6,1,,-0.029760825,
4,ABCC9,1,,,
5,ABCD4,1,8.59799E-08,,"Significant, overexpressed"
6,ABCG5,1,,-0.024593124,
7,ABCG8,1,,,
8,ABL1,1,6.87173E-06,,"Significant, overexpressed"
9,ACSL4,1,,-0.001025823,
10,ACTA2,1,,,
11,ACTB,1,,,
12,ACTL6B,1,,-0.009527531,
13,ACVR2B,1,,,
14,ADAMTS10,1,0.000104845,,"Significant, overexpressed"
15,ADAR,1,0.000684854,,"Significant, overexpressed"
16,ADAT3,1,,,
17,ADH5,1,,,
18,ADK,1,,-2.29907E-05,"Significant, underexpressed"
19,AEBP1,1,,,
20,AFF4,1,0.007192136,,
21,AGO2,1,,,
22,ALB,1,,,
23,ALDH18A1,1,,-0.002035148,
24,ALG12,1,,,
25,ALG8,1,,,
26,ALG9,1,,,
27,ALX1,1,,,
28,ALX3,1,,,
29,AMER1,1,,,
30,AMMECR1,1,,,
31,ANK1,1,,-0.001399939,
32,ANKS6,1,,,
33,APC2,1,,,
34,APOB,1,,,
35,APOE,1,,-0.027306367,
36,ARF1,1,,,
37,ARFGEF2,1,0.006591678,,
38,ARHGAP31,1,2.9992E-39,,"Significant, overexpressed"
39,ARID1A,1,,,
40,ARID1B,1,0.044934341,,
41,ARID2,1,0.019470566,,
42,ARX,1,,,
43,ASCC1,1,,,
44,ATP6V1B2,1,,-0.000160044,"Significant, underexpressed"
45,B3GALT6,1,,,
46,B3GAT3,1,,-0.034188801,
47,BAP1,1,0.003900945,,
48,BCL11B,1,,-0.00318542,
49,BCOR,1,5.19311E-05,,"Significant, overexpressed"
50,BCORL1,1,9.54122E-08,,"Significant, overexpressed"
51,BCR,1,0.003011449,,
52,BGN,1,0.001634558,,
53,BICC1,1,,-9.41359E-07,"Significant, underexpressed"
54,BMP2,1,0.002843835,,
55,BMPR1A,1,,-1.98044E-07,"Significant, underexpressed"
56,BMPR2,1,8.67815E-17,,"Significant, overexpressed"
57,BPTF,1,,,
58,BRAF,1,0.000300473,,"Significant, overexpressed"
59,BRCA1,1,,,
60,BRCA2,1,,,
61,BRF1,1,,,
62,BRIP1,1,,,
63,BUB1,1,,,
64,BUB1B,1,,,
65,C12orf57,1,,,
66,C2CD3,1,,,
67,CACNA1C,1,,,
68,CALM3,1,,,
69,CBL,1,2.34295E-13,,"Significant, overexpressed"
70,CCDC103,1,,,
71,CCDC22,1,,,
72,CCDC39,1,,,
73,CCDC40,1,,-0.023862536,
74,CCDC65,1,,,
75,CCNO,1,,,
76,CD96,1,,-0.001406163,
77,CDC42,1,0.023660738,,
78,CDH2,1,,,
79,CDK8,1,,,
80,CDON,1,,-0.000712419,"Significant, underexpressed"
81,CEP120,1,,,
82,CEP57,1,,,
83,CFC1,1,,,
84,CHD4,1,,,
85,CHD7,1,1.02711E-06,,"Significant, overexpressed"
86,CHRM3,1,6.84795E-05,,"Significant, overexpressed"
87,CHRNG,1,,,
88,CHST3,1,0.00049683,,"Significant, overexpressed"
89,CHUK,1,,,
90,CITED2,1,,-6.08136E-05,"Significant, underexpressed"
91,CLCN7,1,,,
92,COA6,1,,,
93,COG6,1,,,
94,COL18A1,1,1.83673E-06,,"Significant, overexpressed"
95,COL1A1,1,,,
96,COL1A2,1,,,
97,COL2A1,1,,-0.00026447,"Significant, underexpressed"
98,COL3A1,1,,,
99,COL5A1,1,0.027299405,,
100,COL5A2,1,0.018579217,,
101,COMT,1,,,
102,COQ4,1,,,
103,COX7B,1,,,
104,CREBBP,1,0.000682737,,"Significant, overexpressed"
105,CRELD1,1,0.000818387,,"Significant, overexpressed"
106,CRTAP,1,0.000759718,,"Significant, overexpressed"
107,CSGALNACT1,1,2.51303E-16,,"Significant, overexpressed"
108,CTCF,1,0.016055305,,
109,CTU2,1,0.002470138,,
110,CWC27,1,0.021453878,,
111,CXCR4,1,0.001060421,,
112,DACT1,1,,,
113,DDX11,1,,,
114,DDX59,1,0.000138507,,"Significant, overexpressed"
115,DDX6,1,,,
116,DGCR2,1,,,
117,DGCR6,1,,,
118,DGCR8,1,0.045162306,,
119,DHCR24,1,,,
120,DHCR7,1,,,
121,DIS3L2,1,0.01047772,,
122,DLL1,1,8.42037E-09,,"Significant, overexpressed"
123,DLL3,1,,-0.001109296,
124,DLL4,1,1.30728E-33,,"Significant, overexpressed"
125,DNAAF1,1,,,
126,DNAAF2,1,,,
127,DNAAF3,1,,-0.026171023,
