name	smiles	id	struct_id	meddra_name	meddra_code	level	llr_ratio
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	2808625	2068	"Atrial septal defect"	10003664	"PT"	76.77210179076344
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	3475252	2068	"Ventricular septal defect"	10047298	"PT"	53.619698397737984
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	3289318	2068	"Patent ductus arteriosus"	10034130	"PT"	43.88331762488219
"folic acid"	"NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CNC2=N1"	2808640	1231	"Atrial septal defect"	10003664	"PT"	23.922752085693688
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	3340913	2068	"Pulmonary valve stenosis"	10037450	"PT"	21.58972667295005
"lamotrigine"	"NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1"	2808654	1540	"Atrial septal defect"	10003664	"PT"	19.52978082650159
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	2900763	2068	"Coarctation of the aorta"	10009807	"PT"	17.26493873704053
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	2817771	2068	"Bicuspid aortic valve"	10004552	"PT"	15.278510838831291
"paroxetine"	"FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1"	3121963	2068	"Hypoplastic left heart syndrome"	10021076	"PT"	14.555419415645618
"folic acid"	"NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CNC2=N1"	3475263	1231	"Ventricular septal defect"	10047298	"PT"	14.335770934184778
"phenytoin"	"O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1"	2878935	2152	"Cerebellar atrophy"	10008027	"PT"	13.127067231779273
"levothyroxine"	"N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O"	2808603	2646	"Atrial septal defect"	10003664	"PT"	11.774892199137591
"dabigatran etexilate"	"CCCCCCOC(=O)NC(=N)C1=CC=C(NCC2=NC3=CC(=CC=C3N2C)C(=O)N(CCC(=O)OCC)C2=NC=CC=C2)C=C1"	2786206	776	"Aortic dissection"	10002895	"PT"	11.424240272649815
"ritonavir"	"CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1"	3459394	2391	"Trisomy 21"	10044688	"PT"	11.39617947578854
"betamethasone"	"C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"	3289454	348	"Patent ductus arteriosus"	10034130	"PT"	11.386327171259156
"lamivudine"	"NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1"	3459395	1539	"Trisomy 21"	10044688	"PT"	9.27575034106412
"lamotrigine"	"NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1"	3475278	1540	"Ventricular septal defect"	10047298	"PT"	9.16136857955496
"sertraline"	"CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12"	2808701	2436	"Atrial septal defect"	10003664	"PT"	8.583945898265217
"valproic acid"	"CCCC(CCC)C(O)=O"	3181478	2803	"Low set ears"	10024929	"PT"	8.57394366197183
"methyldopa"	"C[C@](N)(CC1=CC(O)=C(O)C=C1)C(O)=O"	2808866	1762	"Atrial septal defect"	10003664	"PT"	8.211007121057987
"betamethasone"	"C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"	2808827	348	"Atrial septal defect"	10003664	"PT"	7.8613882106731765
"lamotrigine"	"NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1"	3289341	1540	"Patent ductus arteriosus"	10034130	"PT"	7.740505270202442
"citalopram"	"CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1"	2808668	663	"Atrial septal defect"	10003664	"PT"	7.644702111613876
"retinol acetate"	"CC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C"	2808645	2372	"Atrial septal defect"	10003664	"PT"	7.4441502901944805
"manganese sulfate"	(null)	2808649	4461	"Atrial septal defect"	10003664	"PT"	7.421351735335905
