Chemical	Chemical_URI	Relationship	Relationship_URI	Gene	Gene_URI
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		HOPX	http://identifiers.org/hgnc.symbol/HOPX
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		SCRG1	http://identifiers.org/hgnc.symbol/SCRG1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		PTPN13	http://identifiers.org/hgnc.symbol/PTPN13
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		NUBPL	http://identifiers.org/hgnc.symbol/NUBPL
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		KLHL23	http://identifiers.org/hgnc.symbol/KLHL23
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		ACTB	http://identifiers.org/hgnc.symbol/ACTB
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		ERAP2	http://identifiers.org/hgnc.symbol/ERAP2
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		GBP1	http://identifiers.org/hgnc.symbol/GBP1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		IFITM1	http://identifiers.org/hgnc.symbol/IFITM1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		KRT14	http://identifiers.org/hgnc.symbol/KRT14
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		TACSTD2	http://identifiers.org/hgnc.symbol/TACSTD2
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		DSG3	http://identifiers.org/hgnc.symbol/DSG3
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		BCL7B	http://identifiers.org/hgnc.symbol/BCL7B
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		COL4A3	http://identifiers.org/hgnc.symbol/COL4A3
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		OLR1	http://identifiers.org/hgnc.symbol/OLR1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		ID1	http://identifiers.org/hgnc.symbol/ID1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		CLIC3	http://identifiers.org/hgnc.symbol/CLIC3
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		TMBIM1	http://identifiers.org/hgnc.symbol/TMBIM1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		LOX	http://identifiers.org/hgnc.symbol/LOX
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		EFEMP1	http://identifiers.org/hgnc.symbol/EFEMP1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		AKR1C1	http://identifiers.org/hgnc.symbol/AKR1C1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		F2R	http://identifiers.org/hgnc.symbol/F2R
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		DMAC2L	http://identifiers.org/hgnc.symbol/DMAC2L
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		TSEN2	http://identifiers.org/hgnc.symbol/TSEN2
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		ACKR3	http://identifiers.org/hgnc.symbol/ACKR3
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		AUTS2	http://identifiers.org/hgnc.symbol/AUTS2
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		CCN2	http://identifiers.org/hgnc.symbol/CCN2
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		MNAT1	http://identifiers.org/hgnc.symbol/MNAT1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		GUSBP3	http://identifiers.org/hgnc.symbol/GUSBP3
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		CDS1	http://identifiers.org/hgnc.symbol/CDS1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		C2CD2	http://identifiers.org/hgnc.symbol/C2CD2
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		PIR	http://identifiers.org/hgnc.symbol/PIR
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		DKK1	http://identifiers.org/hgnc.symbol/DKK1
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		ADGRG2	http://identifiers.org/hgnc.symbol/ADGRG2
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		TIMP3	http://identifiers.org/hgnc.symbol/TIMP3
leflunomide	https://identifiers.org/lincs.smallmolecule:LSM-3771	upregulates		AKR1C3	http://identifiers.org/hgnc.symbol/AKR1C3
