Gene Symbol,pTS
LRP1,1
ANK3,0.98212
PRMT1,0.99998
SF3B1,0.99995
SPTAN1,0.99994
DLG4,0.99985
AP2M1,0.99984
CLTC,0.99982
POLR2A,0.9998
PUF60,0.99979
U2AF2,0.99976
PPFIA3,0.99976
FBXO11,0.99975
GRIN2D,0.99971
DNM1,0.99969
UPF1,0.99964
KDM2A,0.99963
AP2A1,0.99962
ABCA2,0.99961
TNPO2,0.9996
XPO1,0.99957
PRPF8,0.99951
KAT6B,0.97248
EGLN2,0.99945
CACNA1A,0.99944
SF3B3,0.99944
CADM4,0.99937
TRIO,0.96872
CAMK2A,0.99936
TOMM40,0.99935
UBE2Q1,0.99934
GRIN1,0.99933
PPP2CA,0.99933
KHSRP,0.99932
MARK2,0.99932
MED13L,0.94913
SMARCC2,0.99929
HDAC3,0.99924
KLHDC3,0.99918
EDC4,0.99915
TBL1XR1,0.98925
ARID5B,0.92709
AGO1,0.99909
CHD8,0.99909
UBTF,0.99905
PHIP,0.99054
ARID1B,0.89461
ATP2B2,0.999
VSNL1,0.99897
DST,0.75645
SMARCA4,0.99896
LPHN2,0.79432
ATP1A3,0.99895
HECTD1,0.99166
ZNF462,0.97008
NIPBL,0.99231
ACTN4,0.99892
NSD1,0.99102
DDX46,0.99888
JMJD1C,0.88797
PA2G4,0.99885
NFIB,0.96325
CNOT1,0.99884
SUPT5H,0.99883
SUPT16H,0.99882
DHX9,0.99881
CALM3,0.99879
JAG1,0.98262
KPNB1,0.99874
RAPGEF2,0.95422
THRA,0.99868
ZMAT2,0.99867
DYNC1H1,0.99866
JARID2,0.99641
PRPF3,0.99865
ANKRD52,0.99865
MEIS1,0.9696
CHD4,0.9986
HECTD4,0.99859
NXF1,0.99859
SMARCA2,0.97971
FBN1,0.9296
CUL1,0.99857
DSP,0.71165
GCN1L1,0.99846
BRSK1,0.99845
CSNK1E,0.99845
STAT3,0.99844
SUPT6H,0.99844
DDB1,0.99843
CA11,0.99841
WDR5,0.99841
KMT2E,0.82149
GSK3B,0.99832
CTCF,0.99831
TLE4,0.94014
WDFY3,0.99368
KMT2A,0.99576
ZEB2,0.9222
PLCB3,0.99827
ETF1,0.99827
ARHGAP21,0.79121
NBEA,0.99826
NOTCH1,0.99826
ARID2,0.97494
USP24,0.99823
RBBP4,0.99823
ANKHD1,0.9982
NCDN,0.99819
IK,0.99819
POLR2B,0.99816
MAU2,0.99816
CREBBP,0.99154
SHANK1,0.99815
NUDT21,0.99814
MUC5B,0.99812
SPTBN1,0.95466
MTOR,0.99808
CHD9,0.98518
