Gene Symbol,pHI
LRP1,0.99168
ANK3,1
PRMT1,0.91325
SF3B1,0.99539
SPTAN1,0.99409
DLG4,0.95349
AP2M1,0.95791
CLTC,0.9963
POLR2A,0.99302
PUF60,0.88461
U2AF2,0.94197
PPFIA3,0.95576
FBXO11,0.9946
GRIN2D,0.95939
DNM1,0.97182
UPF1,0.97037
KDM2A,0.99377
AP2A1,0.92862
ABCA2,0.9872
TNPO2,0.9792
XPO1,0.99417
PRPF8,0.99834
KAT6B,0.9995
EGLN2,0.90812
CACNA1A,0.99218
SF3B3,0.98988
CADM4,0.97482
TRIO,0.99937
CAMK2A,0.85012
TOMM40,0.90019
UBE2Q1,0.79783
GRIN1,0.81925
PPP2CA,0.94946
KHSRP,0.9761
MARK2,0.97557
MED13L,0.9993
SMARCC2,0.97948
HDAC3,0.81051
KLHDC3,0.91099
EDC4,0.74969
TBL1XR1,0.99914
ARID5B,0.99913
AGO1,0.97645
CHD8,0.99396
UBTF,0.97891
PHIP,0.99902
ARID1B,0.99901
ATP2B2,0.97656
VSNL1,0.73787
DST,0.99897
SMARCA4,0.99318
LPHN2,0.99895
ATP1A3,0.96228
HECTD1,0.99894
ZNF462,0.99894
NIPBL,0.99892
ACTN4,0.97308
NSD1,0.99889
DDX46,0.97513
JMJD1C,0.99885
PA2G4,0.94309
NFIB,0.99884
CNOT1,0.99393
SUPT5H,0.98239
SUPT16H,0.96282
DHX9,0.99432
CALM3,0.56286
JAG1,0.99877
KPNB1,0.99131
RAPGEF2,0.99873
THRA,0.67936
ZMAT2,0.73767
DYNC1H1,0.99841
JARID2,0.99866
PRPF3,0.93438
ANKRD52,0.96888
MEIS1,0.99864
CHD4,0.99633
HECTD4,0.99014
NXF1,0.93205
SMARCA2,0.99859
FBN1,0.99858
CUL1,0.99045
DSP,0.99851
GCN1L1,0.98327
BRSK1,0.94958
CSNK1E,0.96519
STAT3,0.9858
SUPT6H,0.99062
DDB1,0.97103
CA11,0.41061
WDR5,0.905
KMT2E,0.9984
GSK3B,0.97034
CTCF,0.95109
TLE4,0.9983
WDFY3,0.99829
KMT2A,0.99828
ZEB2,0.99827
PLCB3,0.86596
ETF1,0.97562
ARHGAP21,0.99827
NBEA,0.99602
NOTCH1,0.98513
ARID2,0.99824
USP24,0.99568
RBBP4,0.89939
ANKHD1,0.99353
NCDN,0.95453
IK,0.4649
POLR2B,0.96097
MAU2,0.9423
CREBBP,0.99815
SHANK1,0.93631
NUDT21,0.92834
MUC5B,0.76993
SPTBN1,0.99809
MTOR,0.9831
CHD9,0.99808
NAV3,0.99807
NR2F1,0.98426
ANK2,0.99805
CHD3,0.99055
IRF2BP1,0.76065
VCP,0.94292
LDB1,0.8812
MEN1,0.83978
PRRC2C,0.998
CHD6,0.998
ZFHX4,0.99799
PCNXL3,0.93184
DAZAP1,0.91542
ITPR1,0.99796
TLN1,0.983
USP7,0.99793
UBE2I,0.52452
GSK3A,0.90396
FBXL19,0.93825
ZSWIM8,0.98874
PSMC2,0.96559
CHD7,0.99791
SMARCD1,0.94435
HIVEP2,0.9979
STXBP1,0.98955
USP5,0.94541
FZR1,0.97814
NF1,0.99522
HNRNPU,0.99782
STX1B,0.7259
PPP5C,0.95358
CAMK2B,0.68487
SCN8A,0.98784
CACNA1C,0.99771
SPEN,0.99771
CS,0.94349
DOCK9,0.99765
ANKRD17,0.99762
CACNA1E,0.994
SETD1B,0.98383
EP300,0.9976
RARG,0.94034
ARHGEF12,0.99758
RFX1,0.93285
ACACA,0.99241
ARID1A,0.99756
REV3L,0.99754
LMTK3,0.92088
MAP1B,0.99751
ATP2B1,0.99748
NEURL4,0.91044
COL12A1,0.99742
SIN3A,0.99286
SREBF1,0.80339
AUTS2,0.99738
HDAC5,0.9648
MTA1,0.98363
RERE,0.99735
HTT,0.99731
EIF4G1,0.9973
FXR2,0.92862
SATB1,0.99729
CHD1,0.99726
TRIP12,0.99724
CCNL1,0.99724
PIK3CA,0.99554
PPP2R1A,0.87354
COL5A1,0.9972
EIF4G2,0.9972
PLXNB2,0.98444
DDX23,0.85059
RBBP6,0.99712
TCF4,0.99712
WNK1,0.99711
CARM1,0.92169
AGAP3,0.97558
MED13,0.99704
SLC38A2,0.99703
ADNP,0.99702
JPH4,0.49586
UNC5A,0.91545
RICTOR,0.99698
SYVN1,0.83088
CTBP1,0.91674
PLXNC1,0.99159
SYNCRIP,0.99693
PCF11,0.99692
SLIT2,0.99692
FNDC3B,0.99691
HDLBP,0.97356
PPP1CB,0.97513
XPO7,0.98844
GRAMD1B,0.98208
HNRNPH1,0.99622
USP34,0.99682
PSMC6,0.95827
PPP2R5D,0.96095
MAP4K4,0.99138
STAG1,0.99679
PRPF19,0.95705
CSNK1A1,0.9902
GIT1,0.93939
EZH2,0.98847
SMC3,0.99667
PRPF4B,0.99666
SPTBN4,0.92583
FRY,0.99663
MAP4K1,0.92124
GANAB,0.97427
TOP1,0.9966
PEA15,0.71718
CYHR1,0.40224
PPP3CA,0.98255
ABCE1,0.98544
DHX15,0.99652
MEIS2,0.99649
ASAP1,0.99647
TLE1,0.99646
CACTIN,0.91203
EFTUD2,0.95583
TBX3,0.99643
KAT6A,0.99642
TCF7L2,0.99641
KAT2A,0.72037
MAST1,0.98194
ATP6V1A,0.92277
IPO5,0.99636
NAB2,0.66837
EFNB2,0.99634
EBF3,0.99633
AHCYL1,0.88946
ZNF608,0.99632
DYRK1B,0.83623
DHX30,0.97779
RTF1,0.96827
GTPBP2,0.53144
WDR26,0.99282
ARF1,0.80223
CHERP,0.92946
TMEM63B,0.94182
HDAC9,0.99615
PLEKHA5,0.99615
PTPRD,0.99614
RPS6KA4,0.69767
MYCBP2,0.99612
PSMC3,0.92778
SCAF8,0.99604
NCKAP1,0.99603
PURA,0.87916
PBX1,0.996
SEC61A1,0.94946
NAV2,0.9959
TPR,0.99585
NACC1,0.93396
KLF6,0.99581
CDC42BPB,0.99581
GLI3,0.99579
CLK2,0.85026
ARID4B,0.99575
AGO2,0.98676
COPA,0.97504
NOVA2,0.83381
PRKACA,0.87875
XAB2,0.87322
TMEM259,0.964
MLLT10,0.99572
SNRNP200,0.9767
DIP2C,0.99566
STAT5B,0.91658
CHD2,0.99566
SLC4A2,0.89276
DENND4B,0.90258
EBF1,0.99558
DMXL2,0.99557
MINK1,0.99554
ZNF521,0.99548
TOP2B,0.99546
SLC25A11,0.82553
PATZ1,0.9818
TRIM46,0.79625
NFKBIA,0.99539
IPO13,0.97509
TCERG1,0.99442
ATP1A1,0.98007
CLPTM1,0.84488
SSRP1,0.95203
SLC8A2,0.68739
ZMYM4,0.99372
SMARCA5,0.99502
SIN3B,0.94849
SCN2A,0.98952
STAT5A,0.95906
BRWD1,0.99523
ABL1,0.99521
KLF5,0.99521
SRCAP,0.99519
EPHA7,0.99519
TRPS1,0.99519
CNIH2,0.55645
NLK,0.99129
ILF2,0.78313
BTAF1,0.99515
UNK,0.97113
NCOA2,0.99506
IPO7,0.99505
PRR12,0.98536
MAPK8IP3,0.96402
NCOR1,0.99503
ZNF827,0.99502
MACF1,0.99261
KDM1A,0.97069
NFIA,0.99495
TP63,0.99495
MAPRE2,0.97455
TNRC6B,0.99494
CAMTA1,0.98811
CAND1,0.9949
MLLT4,0.99489
UBR5,0.99489
SMU1,0.94731
NOVA1,0.99489
RBM25,0.98712
CBLB,0.99486
ADRBK1,0.89565
PPP3CB,0.9558
NAA25,0.98884
PTCH1,0.99477
TRERF1,0.98617
DNMT1,0.9874
ZNF532,0.99473
CENPB,0.91657
PLCB1,0.9947
KALRN,0.9947
KIAA0947,0.99468
BAI1,0.96364
CTNNB1,0.99467
MYH10,0.99467
HIPK2,0.99463
KDM4A,0.94884
PPP2R5B,0.60868
OTUD4,0.9946
MECOM,0.99458
NCOA1,0.99458
ATP2A2,0.99451
KIF5B,0.99448
TNIK,0.99446
PRPF31,0.78011
RBM22,0.85712
MBTD1,0.97843
SIPA1L1,0.99442
UBE3A,0.99442
CELF3,0.67354
TNRC18,0.99441
RBM26,0.99439
TRIM8,0.9342
ARHGAP5,0.99438
COL11A1,0.99437
ZC3H11A,0.99437
STAT2,0.68933
PIK3R1,0.99431
ATP13A3,0.99428
TOMM40L,0.35076
ZNF219,0.85976
OGDH,0.9784
USP21,0.39114
PLXND1,0.97882
COL4A1,0.99414
SF3A1,0.97065
ZNF292,0.99412
DICER1,0.99411
ARHGAP32,0.99411
TJP1,0.9941
ZFHX3,0.99409
PIP4K2B,0.88729
PAXIP1,0.99405
ARFGEF1,0.99405
CELSR3,0.97217
PLCL2,0.99402
CKAP5,0.9919
XPO5,0.96336
UNC79,0.99152
SPRY2,0.99398
B3GNT1,0.14858
TEAD1,0.99397
GNG3,0.16701
BRD4,0.98741
EPC1,0.99396
CAMSAP2,0.99394
HELZ,0.99394
PTPRK,0.9939
RAC1,0.96336
UNC80,0.9425
CAD,0.98161
GABBR2,0.9497
CDH11,0.99385
MEF2D,0.9379
PIAS4,0.93346
ACIN1,0.97621
CDK5,0.38971
PRKCG,0.57753
RQCD1,0.8271
PBRM1,0.98647
ZFR,0.99378
TANC2,0.99373
HNRNPK,0.99372
ZSWIM6,0.9937
CACNA1G,0.98347
RBPJ,0.99367
EZH1,0.59899
LTBP3,0.74382
PHF3,0.99363
PHF19,0.96591
SVEP1,0.9936
STXBP5,0.9936
NDUFS2,0.44297
BAI3,0.99359
RBM5,0.88112
TTC28,0.99355
IKZF2,0.99354
ETS1,0.99351
IGF1R,0.99351
CLUH,0.97425
PUM1,0.9935
CYFIP2,0.98134
RNF31,0.76636
SMAD7,0.94427
MET,0.99344
FGFR1,0.99338
DDX17,0.99338
SENP3,0.86511
RBBP5,0.92822
FOXP2,0.99337
MTMR4,0.97433
SF3B4,0.80719
CTR9,0.99333
