HPO Accession,Disease ID,Gene Symbol,Disease,HPO Term
HP:0002011,DOID:331,PRPS1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,UCHL1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,POLG,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KCNQ2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CHCHD2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TOE1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SETD1B,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ABCA7,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KCNA4,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MFSD8,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CCM2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,VPS35,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,QARS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FUS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PANK2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,APP,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KCNA1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CYLD,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATP1A1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,BCAP31,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KCNC3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SLC45A1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATN1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CPLX1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,YARS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,MECP2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,FTL,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PDE6D,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SYT14,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CFDP1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TSEN34,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ALDH7A1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,APOE,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ASTN2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,HPSE2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SLC12A1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,AIFM1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GCH1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CUX2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SH3TC2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,C9orf72,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,AARS,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CYP27B1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KCNMA1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NHLRC2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CARKD,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,APTX,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,CLPB,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,EIF2B5,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KCTD7,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TH,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TRAK1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,KIAA0226,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ATM,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,TCTN3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,NEFL,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ENTPD1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PIGB,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,SCN2A,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,PRDM12,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,RALGPS2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,DHTKD1,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,GABRB3,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ALS2,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,VCP,Central nervous system disease,morphological central nervous system abnormality
HP:0002011,DOID:331,ZNF423,Central nervous system disease,morphological central nervous system abnormality
