HPO Accession,Disease ID,Gene Symbol,Disease,HPO Term
HP:0001643,DOID:13832,TFAP2B,Patent ductus arteriosus,patent ductus arteriosus
HP:0001680,DOID:1712,ELN,Aortic valve stenosis,coarctation of aorta
HP:0004942,DOID:3627,MYH11,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,TGFBR1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,MYH11,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,ACTA2,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,FBN1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,ACTA2,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,ACTA2,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,COL3A1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,TGFBR1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,TGFBR2,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,TGFBR2,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,TGFB2,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,TGFB2,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,TGFBR2,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,PRKG1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,ACTA2,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,LOX,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,LOX,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,TGFBR1,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,FOXE3,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,FOXE3,Aortic aneurysm,aortic aneurysm
HP:0004942,DOID:3627,SMAD3,Aortic aneurysm,aortic aneurysm
