HPO Accession,HPO Term,Gene Symbol
HP:0001627,Abnormal heart morphology,DHRS3
HP:0001627,Abnormal heart morphology,GLI3
HP:0001627,Abnormal heart morphology,FRAS1
HP:0001627,Abnormal heart morphology,MED12
HP:0001627,Abnormal heart morphology,FREM2
HP:0001627,Abnormal heart morphology,OFD1
HP:0001629,Ventricular septal defect,CHST3
HP:0001629,Ventricular septal defect,HRAS
HP:0001629,Ventricular septal defect,TBX3
HP:0001629,Ventricular septal defect,SALL1
HP:0001629,Ventricular septal defect,FTO
HP:0001629,Ventricular septal defect,NKX2-5
HP:0001629,Ventricular septal defect,AMER1
HP:0001629,Ventricular septal defect,SMARCE1
HP:0001629,Ventricular septal defect,B3GALT6
HP:0001629,Ventricular septal defect,BCOR
HP:0001629,Ventricular septal defect,ADAMTS18
HP:0001629,Ventricular septal defect,FLNB
HP:0001629,Ventricular septal defect,STRA6
HP:0001629,Ventricular septal defect,HCCS
HP:0001629,Ventricular septal defect,PEX16
HP:0001629,Ventricular septal defect,ARHGAP31
HP:0001629,Ventricular septal defect,FGFR2
HP:0001629,Ventricular septal defect,MGAT2
HP:0001629,Ventricular septal defect,ZEB2
HP:0001629,Ventricular septal defect,TBX1
HP:0001629,Ventricular septal defect,PIGL
HP:0001629,Ventricular septal defect,HRAS
HP:0001629,Ventricular septal defect,GATA4
HP:0001629,Ventricular septal defect,PEX26
HP:0001629,Ventricular septal defect,HYLS1
HP:0001629,Ventricular septal defect,UMPS
HP:0001629,Ventricular septal defect,PEX19
HP:0001629,Ventricular septal defect,ROR2
HP:0001629,Ventricular septal defect,FBN2
HP:0001629,Ventricular septal defect,LRP2
HP:0001629,Ventricular septal defect,CCBE1
HP:0001629,Ventricular septal defect,SHANK3
HP:0001629,Ventricular septal defect,TBX5
HP:0001629,Ventricular septal defect,PEX3
HP:0001629,Ventricular septal defect,KMT2D
HP:0001629,Ventricular septal defect,UBR1
HP:0001629,Ventricular septal defect,ARID1A
HP:0001629,Ventricular septal defect,CD96
HP:0001629,Ventricular septal defect,TP63
HP:0001629,Ventricular septal defect,PIK3R2
HP:0001629,Ventricular septal defect,NAA10
HP:0001629,Ventricular septal defect,KRAS
HP:0001629,Ventricular septal defect,PEX12
HP:0001629,Ventricular septal defect,NIPBL
HP:0001629,Ventricular septal defect,SMARCA2
HP:0001629,Ventricular septal defect,PEX6
HP:0001629,Ventricular septal defect,TTC7A
HP:0001629,Ventricular septal defect,MED12
HP:0001629,Ventricular septal defect,CEP290
HP:0001629,Ventricular septal defect,PTPN11
HP:0001629,Ventricular septal defect,CEP57
HP:0001629,Ventricular septal defect,CKAP2L
HP:0001629,Ventricular septal defect,PEX14
HP:0001629,Ventricular septal defect,PEX2
HP:0001629,Ventricular septal defect,KANSL1
HP:0001629,Ventricular septal defect,SOS1
HP:0001629,Ventricular septal defect,AKT3
HP:0001629,Ventricular septal defect,CCND2
HP:0001629,Ventricular septal defect,TTC37
HP:0001629,Ventricular septal defect,SMARCA4
HP:0001629,Ventricular septal defect,ERBB3
HP:0001629,Ventricular septal defect,PIK3CA
HP:0001629,Ventricular septal defect,ESCO2
HP:0001629,Ventricular septal defect,RBM8A
HP:0001629,Ventricular septal defect,EFTUD2
HP:0001629,Ventricular septal defect,PHGDH
HP:0001629,Ventricular septal defect,FOXC2
HP:0001629,Ventricular septal defect,PSPH
HP:0001629,Ventricular septal defect,PEX10
HP:0001629,Ventricular septal defect,GLI3
HP:0001629,Ventricular septal defect,RAB23
HP:0001629,Ventricular septal defect,MGP
HP:0001629,Ventricular septal defect,CHD7
HP:0001629,Ventricular septal defect,DHCR7
HP:0001629,Ventricular septal defect,PEX5
HP:0001629,Ventricular septal defect,MEGF8
HP:0001629,Ventricular septal defect,FIG4
HP:0001629,Ventricular septal defect,PQBP1
HP:0001629,Ventricular septal defect,GPC6
HP:0001629,Ventricular septal defect,TXNL4A
HP:0001629,Ventricular septal defect,SMARCB1
HP:0001629,Ventricular septal defect,PALB2
HP:0001629,Ventricular septal defect,LRP5
HP:0001629,Ventricular septal defect,FBN1
HP:0001629,Ventricular septal defect,NSD1
HP:0001629,Ventricular septal defect,VIPAS39
HP:0001629,Ventricular septal defect,DDX11
HP:0001629,Ventricular septal defect,KAT6B
