HPO Accession,HPO Term,Gene Symbol,Source,Source ID
HP:0001627,Abnormal heart morphology,COL11A1,mim2gene,OMIM:228520
HP:0001627,Abnormal heart morphology,EVC,mim2gene,OMIM:225500
HP:0001627,Abnormal heart morphology,KIF7,mim2gene,OMIM:200990
HP:0001627,Abnormal heart morphology,SGCD,mim2gene,OMIM:606685
HP:0001627,Abnormal heart morphology,DTNA,mim2gene,OMIM:604169
HP:0001627,Abnormal heart morphology,TBX5,mim2gene,OMIM:142900
HP:0001627,Abnormal heart morphology,TMEM43,mim2gene,OMIM:604400
HP:0001627,Abnormal heart morphology,SLC25A20,mim2gene,OMIM:212138
HP:0001627,Abnormal heart morphology,PPP1CB,mim2gene,OMIM:617506
HP:0001627,Abnormal heart morphology,TRNS1,mim2gene,OMIM:220110
HP:0001627,Abnormal heart morphology,DPF2,mim2gene,OMIM:618027
HP:0001627,Abnormal heart morphology,CWC27,mim2gene,OMIM:250410
HP:0001627,Abnormal heart morphology,TRAIP,mim2gene,OMIM:616777
HP:0001627,Abnormal heart morphology,TPK1,mim2gene,OMIM:614458
HP:0001627,Abnormal heart morphology,SALL1,mim2gene,OMIM:107480
HP:0001627,Abnormal heart morphology,CAPN15,mim2gene,OMIM:619318
HP:0001627,Abnormal heart morphology,ATIC,mim2gene,OMIM:608688
HP:0001627,Abnormal heart morphology,SMG8,mim2gene,OMIM:619268
HP:0001627,Abnormal heart morphology,COG7,mim2gene,OMIM:608779
HP:0001627,Abnormal heart morphology,COG6,mim2gene,OMIM:614576
HP:0001627,Abnormal heart morphology,MAF,mim2gene,OMIM:601088
HP:0001627,Abnormal heart morphology,KAT6B,mim2gene,OMIM:606170
HP:0001627,Abnormal heart morphology,PEX2,mim2gene,OMIM:614866
HP:0001627,Abnormal heart morphology,GATA4,mim2gene,OMIM:615542
HP:0001627,Abnormal heart morphology,MTO1,mim2gene,OMIM:614702
HP:0001627,Abnormal heart morphology,MLYCD,mim2gene,OMIM:248360
HP:0001627,Abnormal heart morphology,PPA2,mim2gene,OMIM:617222
HP:0001627,Abnormal heart morphology,ATPAF2,mim2gene,OMIM:604273
HP:0001627,Abnormal heart morphology,TLL1,mim2gene,OMIM:613087
HP:0001627,Abnormal heart morphology,CCDC28B,mim2gene,OMIM:209900
HP:0001627,Abnormal heart morphology,TREX1,mim2gene,OMIM:225750
HP:0001627,Abnormal heart morphology,LEMD2,mim2gene,OMIM:619322
HP:0001627,Abnormal heart morphology,ND1,mim2gene,OMIM:540000
HP:0001627,Abnormal heart morphology,NDUFC2,mim2gene,OMIM:619170
HP:0001627,Abnormal heart morphology,GATA4,mim2gene,OMIM:187500
HP:0001627,Abnormal heart morphology,NOD2,mim2gene,OMIM:186580
HP:0001627,Abnormal heart morphology,GNPTAB,mim2gene,OMIM:252500
HP:0001627,Abnormal heart morphology,TOP3A,mim2gene,OMIM:618097
HP:0001627,Abnormal heart morphology,TTR,mim2gene,OMIM:105210
HP:0001627,Abnormal heart morphology,RERE,mim2gene,OMIM:616975
HP:0001627,Abnormal heart morphology,SHMT2,mim2gene,OMIM:619121
HP:0001627,Abnormal heart morphology,SLC25A4,mim2gene,OMIM:615418
HP:0001627,Abnormal heart morphology,JAG2,mim2gene,OMIM:619566
HP:0001627,Abnormal heart morphology,SDHA,mim2gene,OMIM:613642
HP:0001627,Abnormal heart morphology,COX10,mim2gene,OMIM:619046
HP:0001627,Abnormal heart morphology,RYR2,mim2gene,OMIM:600996
HP:0001627,Abnormal heart morphology,MYPN,mim2gene,OMIM:615248
HP:0001627,Abnormal heart morphology,XK,mim2gene,OMIM:300842
HP:0001627,Abnormal heart morphology,LMNA,mim2gene,OMIM:610140
HP:0001627,Abnormal heart morphology,WASHC5,mim2gene,OMIM:220210
HP:0001627,Abnormal heart morphology,TGFB2,mim2gene,OMIM:614816
HP:0001627,Abnormal heart morphology,PSEN1,mim2gene,OMIM:613694
HP:0001627,Abnormal heart morphology,PIGA,mim2gene,OMIM:300868
HP:0001627,Abnormal heart morphology,PACS1,mim2gene,OMIM:615009
HP:0001627,Abnormal heart morphology,DLD,mim2gene,OMIM:246900
HP:0001627,Abnormal heart morphology,ESCO2,mim2gene,OMIM:268300
HP:0001627,Abnormal heart morphology,NAXD,mim2gene,OMIM:618321
HP:0001627,Abnormal heart morphology,JAG1,mim2gene,OMIM:118450
HP:0001627,Abnormal heart morphology,MEIS2,mim2gene,OMIM:600987
HP:0001627,Abnormal heart morphology,RNU7-1,mim2gene,OMIM:619487
HP:0001627,Abnormal heart morphology,SEMA3E,mim2gene,OMIM:214800
HP:0001627,Abnormal heart morphology,CHST3,mim2gene,OMIM:245600
HP:0001627,Abnormal heart morphology,SUFU,mim2gene,OMIM:617757
HP:0001627,Abnormal heart morphology,RNU4ATAC,mim2gene,OMIM:210710
HP:0001627,Abnormal heart morphology,CFAP45,mim2gene,OMIM:619608
HP:0001627,Abnormal heart morphology,D2HGDH,mim2gene,OMIM:600721
HP:0001627,Abnormal heart morphology,DNAH5,mim2gene,OMIM:608644
HP:0001627,Abnormal heart morphology,FUCA1,mim2gene,OMIM:230000
HP:0001627,Abnormal heart morphology,SOX4,mim2gene,OMIM:618506
HP:0001627,Abnormal heart morphology,USP9X,mim2gene,OMIM:300968
HP:0001627,Abnormal heart morphology,DOLK,mim2gene,OMIM:610768
HP:0001627,Abnormal heart morphology,ATP5F1E,mim2gene,OMIM:614053
HP:0001627,Abnormal heart morphology,CDK10,mim2gene,OMIM:617694
HP:0001627,Abnormal heart morphology,PRKAG2,mim2gene,OMIM:600858
HP:0001627,Abnormal heart morphology,ATRX,mim2gene,OMIM:301040
HP:0001627,Abnormal heart morphology,CSNK2A1,mim2gene,OMIM:617062
HP:0001627,Abnormal heart morphology,MID1,mim2gene,OMIM:300000
HP:0001627,Abnormal heart morphology,DHCR7,mim2gene,OMIM:270400
HP:0001627,Abnormal heart morphology,CREBBP,mim2gene,OMIM:180849
HP:0001627,Abnormal heart morphology,GMPPB,mim2gene,OMIM:615352
HP:0001627,Abnormal heart morphology,TRRAP,mim2gene,OMIM:618454
HP:0001627,Abnormal heart morphology,RPS17,mim2gene,OMIM:612527
HP:0001627,Abnormal heart morphology,CRYAB,mim2gene,OMIM:608810
HP:0001627,Abnormal heart morphology,DSG1,mim2gene,OMIM:615508
HP:0001627,Abnormal heart morphology,CTBP1,mim2gene,OMIM:194190
HP:0001627,Abnormal heart morphology,SLC40A1,mim2gene,OMIM:606069
HP:0001627,Abnormal heart morphology,GBA,mim2gene,OMIM:231005
