HPO Accession,HPO Term,Gene Symbol,Source,Source ID
HP:0001627,Abnormal heart morphology,DLL1,orphadata,ORPHA:220386
HP:0001627,Abnormal heart morphology,NKX2-5,orphadata,ORPHA:99103
HP:0001627,Abnormal heart morphology,DNAAF1,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,ACAD9,orphadata,ORPHA:99901
HP:0001627,Abnormal heart morphology,PEX16,orphadata,ORPHA:772
HP:0001627,Abnormal heart morphology,KIAA0753,orphadata,ORPHA:2754
HP:0001627,Abnormal heart morphology,DNAAF3,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,TMEM237,orphadata,ORPHA:475
HP:0001627,Abnormal heart morphology,AIP,orphadata,ORPHA:99725
HP:0001627,Abnormal heart morphology,DNAAF4,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,MYH7,orphadata,ORPHA:437572
HP:0001627,Abnormal heart morphology,B3GALT6,orphadata,ORPHA:93359
HP:0001627,Abnormal heart morphology,COL7A1,orphadata,ORPHA:89842
HP:0001627,Abnormal heart morphology,SAMHD1,orphadata,ORPHA:51
HP:0001627,Abnormal heart morphology,UPF3B,orphadata,ORPHA:776
HP:0001627,Abnormal heart morphology,IKZF1,orphadata,ORPHA:36426
HP:0001627,Abnormal heart morphology,SDHB,orphadata,ORPHA:3208
HP:0001627,Abnormal heart morphology,MMP23B,orphadata,ORPHA:1606
HP:0001627,Abnormal heart morphology,RPGRIP1,orphadata,ORPHA:564
HP:0001627,Abnormal heart morphology,NODAL,orphadata,ORPHA:93924
HP:0001627,Abnormal heart morphology,ZIC2,orphadata,ORPHA:93925
HP:0001627,Abnormal heart morphology,LAMB2,orphadata,ORPHA:98915
HP:0001627,Abnormal heart morphology,LRP2,orphadata,ORPHA:2143
HP:0001627,Abnormal heart morphology,SUFU,orphadata,ORPHA:280200
HP:0001627,Abnormal heart morphology,GTF2H5,orphadata,ORPHA:33364
HP:0001627,Abnormal heart morphology,CITED2,orphadata,ORPHA:99105
HP:0001627,Abnormal heart morphology,APOB,orphadata,ORPHA:391665
HP:0001627,Abnormal heart morphology,DYRK1A,orphadata,ORPHA:268261
HP:0001627,Abnormal heart morphology,SDHA,orphadata,ORPHA:154
HP:0001627,Abnormal heart morphology,ND2,orphadata,ORPHA:255210
HP:0001627,Abnormal heart morphology,GATA6,orphadata,ORPHA:99103
HP:0001627,Abnormal heart morphology,DMD,orphadata,ORPHA:206546
HP:0001627,Abnormal heart morphology,CACNA1D,orphadata,ORPHA:369929
HP:0001627,Abnormal heart morphology,CCDC103,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,LUZP1,orphadata,ORPHA:1606
HP:0001627,Abnormal heart morphology,MGAT2,orphadata,ORPHA:79329
HP:0001627,Abnormal heart morphology,EIF2AK4,orphadata,ORPHA:199241
HP:0001627,Abnormal heart morphology,EVC,orphadata,ORPHA:289
HP:0001627,Abnormal heart morphology,DACT1,orphadata,ORPHA:857
HP:0001627,Abnormal heart morphology,CCDC40,orphadata,ORPHA:244
HP:0001627,Abnormal heart morphology,SHOC2,orphadata,ORPHA:2701
HP:0001627,Abnormal heart morphology,SLC25A4,orphadata,ORPHA:1369
HP:0001627,Abnormal heart morphology,CISD2,orphadata,ORPHA:3463
HP:0001627,Abnormal heart morphology,MLH3,orphadata,ORPHA:144
HP:0001627,Abnormal heart morphology,ENPP1,orphadata,ORPHA:758
HP:0001627,Abnormal heart morphology,DNASE1L3,orphadata,ORPHA:36412
HP:0001627,Abnormal heart morphology,MAF,orphadata,ORPHA:1272
HP:0001627,Abnormal heart morphology,TRIM8,orphadata,ORPHA:1934
HP:0001627,Abnormal heart morphology,FLNA,orphadata,ORPHA:98892
HP:0001627,Abnormal heart morphology,RRM2B,orphadata,ORPHA:329336
HP:0001627,Abnormal heart morphology,MAP2K2,orphadata,ORPHA:1340
HP:0001627,Abnormal heart morphology,KLRC4,orphadata,ORPHA:117
HP:0001627,Abnormal heart morphology,TNNC1,orphadata,ORPHA:154
