target_id,target_name,uniprot,sym,tdl,fam,etype,tissue,qual_value,number_value
15556,Alpha-1B-glycoprotein,P04217,A1BG,Tbio,,HPM Gene,Placenta,Medium,1.188614
16113,APOBEC1 complementation factor,Q9NQ94,A1CF,Tbio,,HPM Gene,Placenta,Not detected,
15605,Alpha-2-macroglobulin,P01023,A2M,Tbio,,HPM Gene,Placenta,Medium,2.412113
15541,Alpha-2-macroglobulin-like protein 1,A8K2U0,A2ML1,Tbio,,HPM Gene,Placenta,Medium,0.411305
15604,Lactosylceramide 4-alpha-galactosyltransferase,Q9NPC4,A4GALT,Tbio,Enzyme,HPM Gene,Placenta,Not detected,
15284,Aladin,Q9NRG9,AAAS,Tbio,,HPM Gene,Placenta,Medium,0.53498
16200,Acetoacetyl-CoA synthetase,Q86V21,AACS,Tbio,Enzyme,HPM Gene,Placenta,Medium,0.230138
16189,Arylacetamide deacetylase,P22760,AADAC,Tchem,Enzyme,HPM Gene,Placenta,Not detected,
15884,Arylacetamide deacetylase-like 2,Q6P093,AADACL2,Tdark,Enzyme,HPM Gene,Placenta,Not detected,
15361,Arylacetamide deacetylase-like 3,Q5VUY0,AADACL3,Tdark,Enzyme,HPM Gene,Placenta,Not detected,
15727,Arylacetamide deacetylase-like 4,Q5VUY2,AADACL4,Tdark,Enzyme,HPM Gene,Placenta,Not detected,
16171,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",Q8N5Z0,AADAT,Tchem,Enzyme,HPM Gene,Placenta,Not detected,
16202,Alpha- and gamma-adaptin-binding protein p34,Q6PD74,AAGAB,Tbio,,HPM Gene,Placenta,Not detected,
15296,AP2-associated protein kinase 1,Q2M2I8,AAK1,Tchem,Kinase,HPM Gene,Placenta,Medium,1.009564
16129,Mth938 domain-containing protein,Q9H7C9,AAMDC,Tdark,,HPM Gene,Placenta,Not detected,
16144,Angio-associated migratory cell protein,Q13685,AAMP,Tbio,,HPM Gene,Placenta,Low,0.230138
16145,Protein AAR2 homolog,Q9Y312,AAR2,Tbio,,HPM Gene,Placenta,Medium,0.330101
15287,Alanine and arginine-rich domain-containing protein,Q4LEZ3,AARD,Tdark,,HPM Gene,Placenta,Not detected,
4538,"Alanine--tRNA ligase, cytoplasmic",P49588,AARS,Tbio,Enzyme,HPM Gene,Placenta,Low,1.523303
4311,"Alanine--tRNA ligase, mitochondrial",Q5JTZ9,AARS2,Tbio,Enzyme,HPM Gene,Placenta,Not detected,
15385,Beta-alanine-activating enzyme,Q4L235,AASDH,Tbio,Enzyme,HPM Gene,Placenta,Not detected,
15905,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Q9NRN7,AASDHPPT,Tbio,Enzyme,HPM Gene,Placenta,Medium,0.673628
15578,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",Q9UDR5,AASS,Tbio,Enzyme,HPM Gene,Placenta,Low,0.230138
15373,Protein AATF,Q9NY61,AATF,Tbio,,HPM Gene,Placenta,Not detected,
11861,Serine/threonine-protein kinase LMTK1,Q6ZMQ8,AATK,Tbio,Kinase,HPM Gene,Placenta,Not detected,
17820,"4-aminobutyrate aminotransferase, mitochondrial",P80404,ABAT,Tclin,Enzyme,HPM Gene,Placenta,Medium,0.885049
15632,ATP-binding cassette sub-family A member 1,O95477,ABCA1,Tclin,Transporter,HPM Gene,Placenta,Not detected,
15298,ATP-binding cassette sub-family A member 10,Q8WWZ4,ABCA10,Tdark,Transporter,HPM Gene,Placenta,High,0.712335
15589,ATP-binding cassette sub-family A member 12,Q86UK0,ABCA12,Tbio,Transporter,HPM Gene,Placenta,High,0.411305
16173,ATP-binding cassette sub-family A member 13,Q86UQ4,ABCA13,Tbio,Transporter,HPM Gene,Placenta,Low,0.584019
15592,ATP-binding cassette sub-family A member 2,Q9BZC7,ABCA2,Tbio,Transporter,HPM Gene,Placenta,Low,0.411305
15310,ATP-binding cassette sub-family A member 3,Q99758,ABCA3,Tbio,Transporter,HPM Gene,Placenta,Not detected,
16190,Retinal-specific ATP-binding cassette transporter,P78363,ABCA4,Tbio,Transporter,HPM Gene,Placenta,Not detected,
16116,ATP-binding cassette sub-family A member 5,Q8WWZ7,ABCA5,Tbio,Transporter,HPM Gene,Placenta,Low,0.230138
16143,ATP-binding cassette sub-family A member 6,Q8N139,ABCA6,Tbio,Transporter,HPM Gene,Placenta,Not detected,
15671,ATP-binding cassette sub-family A member 7,Q8IZY2,ABCA7,Tbio,Transporter,HPM Gene,Placenta,High,0.712335
16156,ATP-binding cassette sub-family A member 8,O94911,ABCA8,Tbio,Transporter,HPM Gene,Placenta,Low,0.411305
15371,ATP-binding cassette sub-family A member 9,Q8IUA7,ABCA9,Tbio,Transporter,HPM Gene,Placenta,Medium,0.411305
5599,Multidrug resistance protein 1,P08183,ABCB1,Tchem,Transporter,HPM Gene,Placenta,Medium,1.027852
15607,"ATP-binding cassette sub-family B member 10, mitochondrial",Q9NRK6,ABCB10,Tbio,Transporter,HPM Gene,Placenta,Low,0.230138
