No,gene,CNS_assoc_HPOs,CNS_HP_Count,pvalue_CNS_more,pvalue_CNS_less,DownGeneDrugs,UpGeneDrugs
1,A1CF,,,,1.17911E-11,,
2,A3GALT2,,,0.040249361,,,
3,A4GALT,,,,0.00045199,,
4,A4GNT,,,,4.43805E-05,,
5,AAAS,"HP:0002011, HP:0002060, HP:0002977, HP:0007364, HP:0012443, HP:0012503, HP:0012639, HP:0012759, HP:0100547",9,,1.93942E-08,,
6,AADAC,,,,1.04038E-11,,
7,AADACL2,,,,3.21586E-06,,
8,AADACL3,,,,5.54323E-06,,
9,AADACL4,,,,7.14742E-11,,
10,AADAT,,,0.024864045,,,
11,AAED1,,,,3.78979E-05,,
12,AAK1,,,0.00386103,,,
13,AAMDC,,,,0.000671029,,isoxsuprine
14,AAMP,,,,9.17489E-09,,
15,AANAT,,,,3.49751E-05,,
16,AARS,,,,4.70379E-07,,"hexachlorophene, mifepristone"
17,AARS2,"HP:0001272, HP:0001317, HP:0002011, HP:0002060, HP:0002180, HP:0002500, HP:0002518, HP:0007367, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0100547",13,,6.2482E-05,,
18,AASDHPPT,,,0.009229474,,,
19,AATK,,,0.002443189,,,
20,ABAT,"HP:0001273, HP:0001317, HP:0001321, HP:0002011, HP:0002060, HP:0002500, HP:0002977, HP:0007360, HP:0007364, HP:0007370, HP:0011282, HP:0011283, HP:0012443, HP:0012639, HP:0012759, HP:0100547",16,0.000140311,,"nifedipine, propranolol, warfarin",
21,ABCA3,,,1.23252E-06,,,
22,ABCA4,HP:0012759,1,,8.07135E-05,,
23,ABCA7,"HP:0002011, HP:0002059, HP:0002060, HP:0002120, HP:0002538, HP:0002977, HP:0007112, HP:0007343, HP:0007367, HP:0007369, HP:0012443, HP:0012444, HP:0012639, HP:0012759, HP:0025100, HP:0100547, HP:0410170",17,,3.79822E-06,,
24,ABCB5,,,,1.13597E-05,,
25,ABCB9,,,0.002648047,,,
26,ABCC2,,,,7.76287E-08,,
27,ABCC3,,,,2.80672E-05,,"clomifene, dichloroacetic-acid, estradiol-benzoate, lamotrigine, levodopa, prednisolone, resveratrol"
28,ABCC5,,,0.005013774,,"cilostazol, hexachlorophene",
29,ABCC6,"HP:0002011, HP:0002060, HP:0010651, HP:0010652, HP:0010653, HP:0012443, HP:0012639, HP:0012759, HP:0100547, HP:0100659",10,,4.7859E-09,,
30,ABCC8,"HP:0012639, HP:0012759",2,0.008637942,,,
31,ABCD1,"HP:0002011, HP:0002060, HP:0002062, HP:0002143, HP:0002180, HP:0002283, HP:0002363, HP:0002492, HP:0002500, HP:0002518, HP:0002977, HP:0006827, HP:0007006, HP:0007344, HP:0007367, HP:0007372, HP:0011397, HP:0012443, HP:0012444, HP:0012503, HP:0012639, HP:0012759, HP:0100547",23,,0.00010686,,
32,ABCD2,,,0.009657703,,,
33,ABCF1,,,,6.77302E-09,,heliotrine
34,ABCF2,,,,0.000590913,,
35,ABCF3,,,,7.70775E-06,,
36,ABCG4,,,0.028079268,,,
37,ABCG5,"HP:0002011, HP:0009145, HP:0012443, HP:0012639, HP:0100659",5,,2.4209E-07,,
38,ABCG8,"HP:0002011, HP:0009145, HP:0012443, HP:0012639, HP:0100659",5,,0.000124416,,
39,ABHD11,,,,9.66564E-10,,
40,ABHD14A,,,0.021799876,,,
41,ABHD16B,,,,0.000850837,,
42,ABHD17C,,,0.001551299,,,
43,ABHD2,,,0.00252356,,"androstenedione, TTNPB",
44,ABHD4,,,,0.000321234,,
45,ABHD6,,,0.007547466,,pyrimethamine,
46,ABI2,,,3.29482E-10,,,
